"Player","Pos","X3P","X3PA","X3P.","year"
"Shareef Abdur-Rahim","PF",9,34,0.265,"2003"
"Shareef Abdur-Rahim","PF",5,23,0.217,"2003"
"Shareef Abdur-Rahim","PF",4,11,0.364,"2003"
"Ray Allen*","SG",148,378,0.392,"2003"
"Rafer Alston","PG",161,434,0.371,"2003"
"Chris Andersen","PF",0,1,0,"2003"
"Derek Anderson","SG",79,259,0.305,"2003"
"Kenny Anderson","PG",1,4,0.25,"2003"
"Shandon Anderson","SG",36,128,0.281,"2003"
"Carmelo Anthony","SF",69,214,0.322,"2003"
"Gilbert Arenas","PG",125,333,0.375,"2003"
"Brandon Armstrong","SG",19,52,0.365,"2003"
"Darrell Armstrong","PG",135,429,0.315,"2003"
"Carlos Arroyo","PG",38,117,0.325,"2003"
"Chucky Atkins","PG",81,241,0.336,"2003"
"Chucky Atkins","PG",42,130,0.323,"2003"
"Chucky Atkins","PG",39,111,0.351,"2003"
"Stacey Augmon","SF",1,7,0.143,"2003"
"Vin Baker","PF",1,3,0.333,"2003"
"Vin Baker","PF",0,1,0,"2003"
"Vin Baker","PF",1,2,0.5,"2003"
"Marcus Banks","PG",27,86,0.314,"2003"
"Leandro Barbosa","PG",83,210,0.395,"2003"
"Matt Barnes","SF",2,13,0.154,"2003"
"Brent Barry","SG",114,252,0.452,"2003"
"Jon Barry","SG",51,138,0.37,"2003"
"Tony Battie","C",2,9,0.222,"2003"
"Tony Battie","C",1,1,1,"2003"
"Tony Battie","C",1,8,0.125,"2003"
"Shane Battier","SF",65,186,0.349,"2003"
"Lonny Baxter","C-PF",1,3,0.333,"2003"
"Lonny Baxter","PF",1,1,1,"2003"
"Lonny Baxter","C",0,1,0,"2003"
"Lonny Baxter","PF",0,1,0,"2003"
"Raja Bell","SG",62,166,0.373,"2003"
"Troy Bell","PG",0,4,0,"2003"
"Jonathan Bender","SF",9,22,0.409,"2003"
"Travis Best","PG",3,20,0.15,"2003"
"Mike Bibby","PG",148,378,0.392,"2003"
"Chauncey Billups","PG",130,335,0.388,"2003"
"Steve Blake","PG",75,202,0.371,"2003"
"Corie Blount","PF-C",0,3,0,"2003"
"Corie Blount","PF",0,3,0,"2003"
"Keith Bogans","SF",67,187,0.358,"2003"
"Calvin Booth","C",0,2,0,"2003"
"Carlos Boozer","PF",1,6,0.167,"2003"
"Curtis Borchardt","C",0,1,0,"2003"
"Chris Bosh","C",5,14,0.357,"2003"
"Bruce Bowen","SF",77,212,0.363,"2003"
"Earl Boykins","SG",55,171,0.322,"2003"
"Shawn Bradley","C",0,1,0,"2003"
"Elton Brand","PF",0,1,0,"2003"
"J.R. Bremer","PG",19,74,0.257,"2003"
"J.R. Bremer","PG",19,66,0.288,"2003"
"J.R. Bremer","PG",0,8,0,"2003"
"Jamison Brewer","PG",5,14,0.357,"2003"
"Devin Brown","SG",4,14,0.286,"2003"
"Kedrick Brown","SF",38,99,0.384,"2003"
"Kedrick Brown","SF",12,32,0.375,"2003"
"Kedrick Brown","SF",26,67,0.388,"2003"
"Kwame Brown","PF",1,2,0.5,"2003"
"P.J. Brown","PF",0,1,0,"2003"
"Rick Brunson","PG",11,23,0.478,"2003"
"Rick Brunson","PG",11,23,0.478,"2003"
"Kobe Bryant*","SG",71,217,0.327,"2003"
"Greg Buckner","SG",12,44,0.273,"2003"
"Rodney Buford","SF",0,2,0,"2003"
"Caron Butler","SF",10,42,0.238,"2003"
"Mitchell Butler","SG",11,30,0.367,"2003"
"Rasual Butler","SF",50,108,0.463,"2003"
"Žarko Čabarkapa","PF",6,32,0.188,"2003"
"Marcus Camby","C",0,2,0,"2003"
"Brian Cardinal","PF",55,124,0.444,"2003"
"Matt Carroll","SG",1,3,0.333,"2003"
"Matt Carroll","SG",1,3,0.333,"2003"
"Anthony Carter","PG",0,3,0,"2003"
"Maurice Carter","SG",4,11,0.364,"2003"
"Maurice Carter","SG",1,3,0.333,"2003"
"Maurice Carter","SG",3,8,0.375,"2003"
"Vince Carter","SG",93,243,0.383,"2003"
"Sam Cassell","PG",74,186,0.398,"2003"
"Tyson Chandler","PF",0,1,0,"2003"
"Calbert Cheaney","SF",0,10,0,"2003"
"Doug Christie","SG",49,142,0.345,"2003"
"Speedy Claxton","PG",4,22,0.182,"2003"
"Mateen Cleaves","PG",0,1,0,"2003"
"Derrick Coleman","C",8,36,0.222,"2003"
"Jason Collier","C",1,4,0.25,"2003"
"Jarron Collins","C",0,1,0,"2003"
"Jason Collins","C",0,2,0,"2003"
"Brian Cook","C",0,5,0,"2003"
"Omar Cook","PG",0,1,0,"2003"
"Chris Crawford","PF",44,113,0.389,"2003"
"Jamal Crawford","SG",165,521,0.317,"2003"
