"Player","Pos","X3P","X3PA","X3P.","year"
"Quincy Acy","SF",4,15,0.267,"2013"
"Quincy Acy","SF",2,5,0.4,"2013"
"Quincy Acy","SF",2,10,0.2,"2013"
"Arron Afflalo","SG",128,300,0.427,"2013"
"Alexis Ajinça","C",0,1,0,"2013"
"LaMarcus Aldridge","PF",3,15,0.2,"2013"
"Lavoy Allen","PF",2,13,0.154,"2013"
"Lavoy Allen","PF",2,13,0.154,"2013"
"Ray Allen*","SG",116,309,0.375,"2013"
"Tony Allen","SG",11,47,0.234,"2013"
"Al-Farouq Aminu","SF",13,48,0.271,"2013"
"Chris Andersen","C",3,12,0.25,"2013"
"Alan Anderson","SF",84,248,0.339,"2013"
"James Anderson","SG",115,351,0.328,"2013"
"Ryan Anderson","PF",67,164,0.409,"2013"
"Giannis Antetokounmpo","SF",41,118,0.347,"2013"
"Carmelo Anthony","PF",167,415,0.402,"2013"
"Pero Antić","C",56,171,0.327,"2013"
"Trevor Ariza","SF",180,442,0.407,"2013"
"Darrell Arthur","SF",24,64,0.375,"2013"
"D.J. Augustin","PG",133,332,0.401,"2013"
"D.J. Augustin","PG",1,11,0.091,"2013"
"D.J. Augustin","PG",132,321,0.411,"2013"
"Chris Babb","SG",6,27,0.222,"2013"
"Luke Babbitt","PF",36,95,0.379,"2013"
"Leandro Barbosa","PG",7,25,0.28,"2013"
"J.J. Barea","PG",73,231,0.316,"2013"
"Andrea Bargnani","C",30,108,0.278,"2013"
"Harrison Barnes","SF",66,190,0.347,"2013"
"Matt Barnes","SF",97,283,0.343,"2013"
"Will Barton","SG",10,33,0.303,"2013"
"Brandon Bass","PF",2,6,0.333,"2013"
"Shane Battier","SF",73,210,0.348,"2013"
"Nicolas Batum","SF",145,402,0.361,"2013"
"Jerryd Bayless","PG",76,212,0.358,"2013"
"Jerryd Bayless","PG",25,83,0.301,"2013"
"Jerryd Bayless","PG",51,129,0.395,"2013"
"Kent Bazemore","SG",43,128,0.336,"2013"
"Kent Bazemore","SG",10,39,0.256,"2013"
"Kent Bazemore","SG",33,89,0.371,"2013"
"Bradley Beal","SG",138,343,0.402,"2013"
"Michael Beasley","SF",21,54,0.389,"2013"
"Marco Belinelli","SF",126,293,0.43,"2013"
"Anthony Bennett","PF",13,53,0.245,"2013"
"Patrick Beverley","PG",92,255,0.361,"2013"
"Chauncey Billups","SG",14,48,0.292,"2013"
"DeJuan Blair","PF",0,2,0,"2013"
"Steve Blake","PG",79,210,0.376,"2013"
