"Player","Pos","X3P","X3PA","X3P.","year"
"Quincy Acy","PF",18,60,0.3,"2014"
"Jordan Adams","SG",10,25,0.4,"2014"
"Steven Adams","C",0,2,0,"2014"
"Arron Afflalo","SG",118,333,0.354,"2014"
"Arron Afflalo","SG",82,243,0.337,"2014"
"Arron Afflalo","SG",36,90,0.4,"2014"
"Furkan Aldemir","PF",0,5,0,"2014"
"LaMarcus Aldridge","PF",37,105,0.352,"2014"
"Tony Allen","SG",10,29,0.345,"2014"
"Al-Farouq Aminu","SF",34,124,0.274,"2014"
"Lou Amundson","PF",0,1,0,"2014"
"Lou Amundson","PF",0,1,0,"2014"
"Chris Andersen","C",4,13,0.308,"2014"
"Alan Anderson","SG",73,210,0.348,"2014"
"Kyle Anderson","SF",3,11,0.273,"2014"
"Ryan Anderson","PF",122,359,0.34,"2014"
"Giannis Antetokounmpo","SG",7,44,0.159,"2014"
"Carmelo Anthony","SF",61,179,0.341,"2014"
"Pero Antić","C",52,173,0.301,"2014"
"Trevor Ariza","SF",194,555,0.35,"2014"
"Darrell Arthur","PF",26,110,0.236,"2014"
"D.J. Augustin","PG",83,246,0.337,"2014"
"D.J. Augustin","PG",49,150,0.327,"2014"
"D.J. Augustin","PG",34,96,0.354,"2014"
"Luke Babbitt","SF",59,115,0.513,"2014"
"Leandro Barbosa","SG",43,112,0.384,"2014"
"J.J. Barea","PG",54,167,0.323,"2014"
"Andrea Bargnani","C",15,41,0.366,"2014"
"Harrison Barnes","SF",87,215,0.405,"2014"
"Matt Barnes","SF",136,376,0.362,"2014"
"Earl Barron","C",2,4,0.5,"2014"
"Will Barton","SG",23,85,0.271,"2014"
"Will Barton","SG",4,18,0.222,"2014"
"Will Barton","SG",19,67,0.284,"2014"
"Brandon Bass","PF",9,32,0.281,"2014"
"Nicolas Batum","SF",100,309,0.324,"2014"
"Jerryd Bayless","PG",37,120,0.308,"2014"
"Aron Baynes","C",1,4,0.25,"2014"
"Kent Bazemore","SG",48,132,0.364,"2014"
"Bradley Beal","SG",106,259,0.409,"2014"
"Michael Beasley","PF",8,34,0.235,"2014"
"Marco Belinelli","SG",86,230,0.374,"2014"
"Anthony Bennett","PF",7,23,0.304,"2014"
"Patrick Beverley","PG",115,323,0.356,"2014"
"Tarik Black","C",0,1,0,"2014"
"Tarik Black","C",0,1,0,"2014"
"Steve Blake","PG",77,219,0.352,"2014"
"Eric Bledsoe","PG",88,272,0.324,"2014"
"Vander Blue","SG",2,10,0.2,"2014"
"Bojan Bogdanović","SF",91,256,0.355,"2014"
"Matt Bonner","PF",46,126,0.365,"2014"
"Trevor Booker","PF",29,84,0.345,"2014"
"Chris Bosh","C",63,168,0.375,"2014"
"Avery Bradley","SG",124,352,0.352,"2014"
"Elton Brand","C",0,1,0,"2014"
"Corey Brewer","SF",63,235,0.268,"2014"
"Corey Brewer","SF",8,41,0.195,"2014"
"Corey Brewer","SF",55,194,0.284,"2014"
"Aaron Brooks","PG",121,313,0.387,"2014"
"Jabari Brown","SG",23,62,0.371,"2014"
"Lorenzo Brown","PG",6,28,0.214,"2014"
"Markel Brown","SG",17,64,0.266,"2014"
"Shannon Brown","SG",3,7,0.429,"2014"
"Kobe Bryant*","SG",54,184,0.293,"2014"
"Chase Budinger","SF",52,143,0.364,"2014"
"Reggie Bullock","SF",15,46,0.326,"2014"
"Reggie Bullock","SF",15,39,0.385,"2014"
"Reggie Bullock","SF",0,7,0,"2014"
"Trey Burke","PG",124,390,0.318,"2014"
"Alec Burks","SG",26,68,0.382,"2014"
"Caron Butler","SF",83,219,0.379,"2014"
"Jimmy Butler","SG",73,193,0.378,"2014"
"Rasual Butler","SF",91,235,0.387,"2014"
"Dwight Buycks","PG",7,11,0.636,"2014"
"Will Bynum","SG",0,9,0,"2014"
"Bruno Caboclo","SF",2,3,0.667,"2014"
"Nick Calathes","SG",11,43,0.256,"2014"
"José Calderón","PG",59,142,0.415,"2014"
"Kentavious Caldwell-Pope","SG",153,444,0.345,"2014"
"Isaiah Canaan","PG",91,246,0.37,"2014"
"Isaiah Canaan","PG",32,84,0.381,"2014"
"Isaiah Canaan","PG",59,162,0.364,"2014"
"DeMarre Carroll","SF",120,304,0.395,"2014"
"Vince Carter","SG",69,232,0.297,"2014"
"Michael Carter-Williams","PG",36,153,0.235,"2014"
"Michael Carter-Williams","PG",32,125,0.256,"2014"
"Michael Carter-Williams","PG",4,28,0.143,"2014"
"Omri Casspi","SF",35,87,0.402,"2014"
"Mario Chalmers","PG",73,248,0.294,"2014"
"Wilson Chandler","SF",139,406,0.342,"2014"
"Will Cherry","PG",2,9,0.222,"2014"
"Patrick Christopher","SG",0,4,0,"2014"
"Earl Clark","PF",4,14,0.286,"2014"
"Ian Clark","SG",10,30,0.333,"2014"
"Ian Clark","SG",9,25,0.36,"2014"
"Ian Clark","SG",1,5,0.2,"2014"
"Jordan Clarkson","PG",38,121,0.314,"2014"
"Victor Claver","SF",6,11,0.545,"2014"
"Norris Cole","PG",55,176,0.313,"2014"
"Norris Cole","PG",27,102,0.265,"2014"
"Norris Cole","PG",28,74,0.378,"2014"
"Darren Collison","PG",60,161,0.373,"2014"
"Nick Collison","PF",16,60,0.267,"2014"
"Mike Conley","PG",107,277,0.386,"2014"
"Chris Copeland","SF",52,167,0.311,"2014"
"Bryce Cotton","PG",7,20,0.35,"2014"
"DeMarcus Cousins","C",2,8,0.25,"2014"
"Robert Covington","SF",167,446,0.374,"2014"
"Allen Crabbe","SG",30,85,0.353,"2014"
"Jamal Crawford","SG",119,364,0.327,"2014"
"Jae Crowder","SF",61,208,0.293,"2014"
"Jae Crowder","SF",13,38,0.342,"2014"
"Jae Crowder","SF",48,170,0.282,"2014"
"Dante Cunningham","PF",1,10,0.1,"2014"
"Jared Cunningham","SG",4,13,0.308,"2014"
"Seth Curry","PG",0,1,0,"2014"
"Stephen Curry","PG",286,646,0.443,"2014"
"Troy Daniels","SG",43,118,0.364,"2014"
"Troy Daniels","SG",13,43,0.302,"2014"
"Troy Daniels","SG",13,39,0.333,"2014"
"Troy Daniels","SG",17,36,0.472,"2014"
"Gigi Datome","SF",18,40,0.45,"2014"
"Gigi Datome","SF",1,4,0.25,"2014"
"Gigi Datome","SF",17,36,0.472,"2014"
"Brandon Davies","PF",8,34,0.235,"2014"
"Brandon Davies","PF",7,30,0.233,"2014"
"Brandon Davies","PF",1,4,0.25,"2014"
"Anthony Davis","PF",1,12,0.083,"2014"
"Glen Davis","PF",0,4,0,"2014"
"Andre Dawkins","SG",1,6,0.167,"2014"
"Austin Daye","SF",24,71,0.338,"2014"
"Austin Daye","SF",19,57,0.333,"2014"
"Austin Daye","SF",5,14,0.357,"2014"
"Dewayne Dedmon","C",0,1,0,"2014"
"Matthew Dellavedova","SG",68,167,0.407,"2014"
"Luol Deng","SF",78,220,0.355,"2014"
"DeMar DeRozan","SG",25,88,0.284,"2014"
"Boris Diaw","PF",54,169,0.32,"2014"
"Gorgui Dieng","C",1,6,0.167,"2014"
"Spencer Dinwiddie","PG",12,65,0.185,"2014"
"Joey Dorsey","PF",0,1,0,"2014"
"Toney Douglas","SG",5,18,0.278,"2014"
"Chris Douglas-Roberts","SG",1,7,0.143,"2014"
"Goran Dragić","SG-PG",90,259,0.347,"2014"
"Goran Dragić","SG",66,186,0.355,"2014"
"Goran Dragić","PG",24,73,0.329,"2014"
"Zoran Dragić","SG",3,14,0.214,"2014"
"Zoran Dragić","SG",0,5,0,"2014"
"Zoran Dragić","SG",3,9,0.333,"2014"
"Larry Drew II","PG",4,26,0.154,"2014"
"Andre Drummond","C",0,2,0,"2014"
"Jared Dudley","SG",74,192,0.385,"2014"
"Tim Duncan*","C",2,7,0.286,"2014"
"Mike Dunleavy","SF",107,263,0.407,"2014"
