"Player","Pos","X3P","X3PA","X3P.","year"
"Tariq Abdul-Wahad","SG",1,2,0.5,"2001"
"Tariq Abdul-Wahad","SG",1,2,0.5,"2001"
"Shareef Abdur-Rahim","PF",21,70,0.3,"2001"
"Courtney Alexander","SG",5,18,0.278,"2001"
"Victor Alexander","C",0,2,0,"2001"
"Malik Allen","PF",0,1,0,"2001"
"Ray Allen*","SG",229,528,0.434,"2001"
"Rafer Alston","PG",27,71,0.38,"2001"
"Chris Andersen","C",0,4,0,"2001"
"Derek Anderson","SG",85,228,0.373,"2001"
"Kenny Anderson","PG",9,33,0.273,"2001"
"Nick Anderson","SG",13,48,0.271,"2001"
"Shandon Anderson","SG",39,141,0.277,"2001"
"Greg Anthony","PG",48,163,0.294,"2001"
"Greg Anthony","PG",29,90,0.322,"2001"
"Greg Anthony","PG",19,73,0.26,"2001"
"Gilbert Arenas","PG",39,113,0.345,"2001"
"Brandon Armstrong","SG",5,17,0.294,"2001"
"Darrell Armstrong","PG",139,398,0.349,"2001"
"Carlos Arroyo","PG",0,2,0,"2001"
"Carlos Arroyo","PG",0,2,0,"2001"
"Chucky Atkins","PG",138,336,0.411,"2001"
"Stacey Augmon","SG",0,3,0,"2001"
"Isaac Austin","C",0,3,0,"2001"
"William Avery","PG",6,35,0.171,"2001"
"Dalibor Bagarić","C",0,1,0,"2001"
"Vin Baker","C",1,8,0.125,"2001"
"Erick Barkley","PG",1,7,0.143,"2001"
"Dana Barros","PG",24,71,0.338,"2001"
"Brent Barry","SG",164,387,0.424,"2001"
"Jon Barry","SG",121,258,0.469,"2001"
"Mengke Bateer","C",4,12,0.333,"2001"
"Tony Battie","C",0,2,0,"2001"
"Shane Battier","SF",103,276,0.373,"2001"
"Charlie Bell","SG",0,6,0,"2001"
"Charlie Bell","SG",0,6,0,"2001"
"Raja Bell","SG",12,44,0.273,"2001"
"Jonathan Bender","SF",45,125,0.36,"2001"
"Travis Best","PG",21,59,0.356,"2001"
"Travis Best","PG",13,34,0.382,"2001"
"Travis Best","PG",8,25,0.32,"2001"
"Mike Bibby","PG",51,138,0.37,"2001"
"Chauncey Billups","PG",124,315,0.394,"2001"
"Mookie Blaylock","PG",15,42,0.357,"2001"
"Corie Blount","PF",0,1,0,"2001"
"Cal Bowdler","PF",1,5,0.2,"2001"
"Bruce Bowen","SF",56,148,0.378,"2001"
"Ryan Bowen","SF",1,12,0.083,"2001"
"Ira Bowman","SG",0,1,0,"2001"
"Earl Boykins","PG",13,42,0.31,"2001"
"Michael Bradley","PF",0,2,0,"2001"
"Shawn Bradley","C",0,1,0,"2001"
"Terrell Brandon","PG",4,23,0.174,"2001"
"Jamison Brewer","SG",0,1,0,"2001"
"Damone Brown","SF",0,1,0,"2001"
"Dee Brown","PG",1,12,0.083,"2001"
"Kedrick Brown","SF",5,27,0.185,"2001"
"Kwame Brown","PF",0,1,0,"2001"
"Tierre Brown","SG",4,12,0.333,"2001"
"Rick Brunson","PG",6,11,0.545,"2001"
"Kobe Bryant*","SG",33,132,0.25,"2001"
"Greg Buckner","SG",5,16,0.313,"2001"
"Jud Buechler","SF",21,60,0.35,"2001"
"Jud Buechler","SF",2,6,0.333,"2001"
"Jud Buechler","SF",19,54,0.352,"2001"
"Rodney Buford","SG",17,70,0.243,"2001"
"Matt Bullard","PF",16,57,0.281,"2001"
"Mitchell Butler","SG",1,3,0.333,"2001"
"Jason Caffey","PF",0,1,0,"2001"
"Marcus Camby","C",0,1,0,"2001"
"Elden Campbell","PF",0,2,0,"2001"
"Brian Cardinal","PF",3,7,0.429,"2001"
"Anthony Carter","PG",1,19,0.053,"2001"
"Vince Carter","SG",121,313,0.387,"2001"
