"Player","Pos","X3P","X3PA","X3P.","year"
"Quincy Acy","PF",19,49,0.388,"2015"
"Jordan Adams","SG",0,1,0,"2015"
"Arron Afflalo","SG",91,238,0.382,"2015"
"Alexis Ajinça","C",0,1,0,"2015"
"LaMarcus Aldridge","PF",0,16,0,"2015"
"Tony Allen","SG",15,42,0.357,"2015"
"Al-Farouq Aminu","SF",126,349,0.361,"2015"
"Chris Andersen","C",4,14,0.286,"2015"
"Chris Andersen","C",2,5,0.4,"2015"
"Chris Andersen","C",2,9,0.222,"2015"
"Alan Anderson","SG",12,37,0.324,"2015"
"James Anderson","SG",23,86,0.267,"2015"
"Justin Anderson","SF",22,83,0.265,"2015"
"Kyle Anderson","SF",12,37,0.324,"2015"
"Ryan Anderson","PF",131,358,0.366,"2015"
"Giannis Antetokounmpo","PG",28,109,0.257,"2015"
"Thanasis Antetokounmpo","SF",0,1,0,"2015"
"Carmelo Anthony","SF",105,310,0.339,"2015"
"Keith Appling","PG",0,3,0,"2015"
"Trevor Ariza","SF",185,499,0.371,"2015"
"Darrell Arthur","PF",45,117,0.385,"2015"
"D.J. Augustin","PG",68,168,0.405,"2015"
"D.J. Augustin","PG",24,61,0.393,"2015"
"D.J. Augustin","PG",44,107,0.411,"2015"
"Jeff Ayres","C",0,1,0,"2015"
"Luke Babbitt","SF",44,109,0.404,"2015"
"Cameron Bairstow","C",1,5,0.2,"2015"
"Leandro Barbosa","SG",39,110,0.355,"2015"
"J.J. Barea","PG",100,260,0.385,"2015"
"Andrea Bargnani","C",3,16,0.188,"2015"
"Harrison Barnes","SF",82,214,0.383,"2015"
"Matt Barnes","SF",119,370,0.322,"2015"
"Will Barton","SG",112,325,0.345,"2015"
"Brandon Bass","PF",0,2,0,"2015"
"Nicolas Batum","SF",139,399,0.348,"2015"
"Jerryd Bayless","SG",101,231,0.437,"2015"
"Aron Baynes","C",0,2,0,"2015"
"Kent Bazemore","SF",109,305,0.357,"2015"
"Bradley Beal","SG",105,271,0.387,"2015"
"Michael Beasley","PF",3,9,0.333,"2015"
"Marco Belinelli","SG",91,297,0.306,"2015"
"Anthony Bennett","PF",3,14,0.214,"2015"
"Patrick Beverley","PG",124,310,0.4,"2015"
"Bismack Biyombo","C",0,1,0,"2015"
"Nemanja Bjelica","PF",48,125,0.384,"2015"
"DeJuan Blair","C",0,1,0,"2015"
"Steve Blake","PG",52,151,0.344,"2015"
"Eric Bledsoe","PG",48,129,0.372,"2015"
"Bojan Bogdanović","SF",129,338,0.382,"2015"
"Andrew Bogut","C",1,1,1,"2015"
"Matt Bonner","C",15,34,0.441,"2015"
"Devin Booker","SG",99,289,0.343,"2015"
"Trevor Booker","PF",12,41,0.293,"2015"
"Chris Bosh","PF",81,222,0.365,"2015"
"Avery Bradley","SG",147,407,0.361,"2015"
"Elton Brand","C",0,1,0,"2015"
"Corey Brewer","SF",61,224,0.272,"2015"
"Aaron Brooks","PG",66,185,0.357,"2015"
"Anthony Brown","SF",20,70,0.286,"2015"
"Lorenzo Brown","PG",1,8,0.125,"2015"
"Markel Brown","SG",38,121,0.314,"2015"
"Kobe Bryant*","SF",133,467,0.285,"2015"
"Chase Budinger","SF",24,86,0.279,"2015"
"Chase Budinger","SF",20,69,0.29,"2015"
"Chase Budinger","SF",4,17,0.235,"2015"
"Reggie Bullock","SF",22,53,0.415,"2015"
"Trey Burke","PG",88,256,0.344,"2015"
"Alec Burks","SG",32,79,0.405,"2015"
"Caron Butler","SF",3,18,0.167,"2015"
"Jimmy Butler","SG",64,205,0.312,"2015"
"Rasual Butler","SF",15,49,0.306,"2015"
"Bruno Caboclo","SF",1,7,0.143,"2015"
"José Calderón","PG",84,203,0.414,"2015"
"Kentavious Caldwell-Pope","SG",114,369,0.309,"2015"
"Isaiah Canaan","SG",176,485,0.363,"2015"
"Clint Capela","C",0,1,0,"2015"
"DeMarre Carroll","SF",46,118,0.39,"2015"
"Vince Carter","SG",59,169,0.349,"2015"
"Michael Carter-Williams","PG",15,55,0.273,"2015"
"Omri Casspi","PF",112,274,0.409,"2015"
"Willie Cauley-Stein","C",0,2,0,"2015"
"Mario Chalmers","PG",46,149,0.309,"2015"
"Mario Chalmers","PG",1,11,0.091,"2015"
"Mario Chalmers","PG",45,138,0.326,"2015"
"Tyson Chandler","C",0,1,0,"2015"
"Ian Clark","SG",30,84,0.357,"2015"
"Coty Clarke","SF",2,2,1,"2015"
"Jordan Clarkson","SG",111,320,0.347,"2015"
"Norris Cole","PG",33,102,0.324,"2015"
"Darren Collison","PG",87,217,0.401,"2015"
"Nick Collison","PF",0,2,0,"2015"
"Mike Conley","PG",78,215,0.363,"2015"
"Pat Connaughton","SG",5,21,0.238,"2015"
"Chris Copeland","PF",10,36,0.278,"2015"
"Bryce Cotton","PG",0,3,0,"2015"
"Bryce Cotton","PG",0,3,0,"2015"
"DeMarcus Cousins","C",70,210,0.333,"2015"
"Robert Covington","SF",170,482,0.353,"2015"
"Allen Crabbe","SG",112,285,0.393,"2015"
"Jamal Crawford","SG",117,344,0.34,"2015"
"Jae Crowder","SF",122,363,0.336,"2015"
"Dante Cunningham","SF",55,174,0.316,"2015"
"Jared Cunningham","SG",12,39,0.308,"2015"
"Jared Cunningham","SG",10,32,0.313,"2015"
"Jared Cunningham","SG",2,7,0.286,"2015"
"Seth Curry","PG",50,111,0.45,"2015"
"Stephen Curry","PG",402,886,0.454,"2015"
"Troy Daniels","SG",59,122,0.484,"2015"
"Anthony Davis","C",35,108,0.324,"2015"
"Bryce Dejean-Jones","SG",12,32,0.375,"2015"
"Matthew Dellavedova","PG",98,239,0.41,"2015"
"Luol Deng","PF",88,256,0.344,"2015"
"DeMar DeRozan","SG",47,139,0.338,"2015"
"Boris Diaw","PF",25,69,0.362,"2015"
"Gorgui Dieng","C",6,20,0.3,"2015"
"Spencer Dinwiddie","PG",1,10,0.1,"2015"
"Toney Douglas","PG",81,203,0.399,"2015"
"Goran Dragić","PG",64,205,0.312,"2015"
"Andre Drummond","C",2,6,0.333,"2015"
"Jared Dudley","PF",100,238,0.42,"2015"
"Duje Dukan","SF",2,5,0.4,"2015"
"Tim Duncan*","C",0,2,0,"2015"
"Mike Dunleavy","SF",39,99,0.394,"2015"
"Kevin Durant","SF",186,481,0.387,"2015"
"Cleanthony Early","SF",4,15,0.267,"2015"
"Jarell Eddie","SF",15,47,0.319,"2015"
"Wayne Ellington","SG",96,268,0.358,"2015"
"Monta Ellis","SG",87,282,0.309,"2015"
"James Ennis","SF",26,58,0.448,"2015"
"James Ennis","SF",2,8,0.25,"2015"
"James Ennis","SF",24,50,0.48,"2015"
"Tyler Ennis","PG",13,39,0.333,"2015"
"Jeremy Evans","SF",4,16,0.25,"2015"
"Tyreke Evans","SG",33,85,0.388,"2015"
"Kenneth Faried","PF",1,2,0.5,"2015"
"Jordan Farmar","PG",16,45,0.356,"2015"
"Derrick Favors","PF",0,4,0,"2015"
"Cristiano Felício","C",0,4,0,"2015"
"Raymond Felton","PG",60,213,0.282,"2015"
"Evan Fournier","SF",156,390,0.4,"2015"
"Randy Foye","SG",75,250,0.3,"2015"
"Randy Foye","SG",50,169,0.296,"2015"
"Randy Foye","SG",25,81,0.309,"2015"
"Tim Frazier","PG",16,48,0.333,"2015"
"Tim Frazier","PG",3,17,0.176,"2015"
"Tim Frazier","PG",13,31,0.419,"2015"
"Jimmer Fredette","SG",1,2,0.5,"2015"
"Jimmer Fredette","SG",0,1,0,"2015"
"Jimmer Fredette","SG",1,1,1,"2015"
"Channing Frye","PF-C",91,235,0.387,"2015"
"Channing Frye","PF",48,121,0.397,"2015"
"Channing Frye","C",43,114,0.377,"2015"
"Danilo Gallinari","SF",87,239,0.364,"2015"
"Langston Galloway","PG",77,224,0.344,"2015"
"Kevin Garnett*","PF",0,1,0,"2015"
"Marc Gasol","C",2,3,0.667,"2015"
"Pau Gasol","C",24,69,0.348,"2015"
"Rudy Gay","SF",74,215,0.344,"2015"
"Alonzo Gee","SF",17,60,0.283,"2015"
"Paul George","SF",210,566,0.371,"2015"
"Taj Gibson","PF",0,3,0,"2015"
"Manu Ginóbili","SG",70,179,0.391,"2015"
"Drew Gooden","PF",7,41,0.171,"2015"
"Archie Goodwin","PG",23,99,0.232,"2015"
"Aaron Gordon","PF",42,142,0.296,"2015"
"Eric Gordon","SG",113,294,0.384,"2015"
"Marcin Gortat","C",0,1,0,"2015"
"Andrew Goudelock","PG",1,9,0.111,"2015"
"Jerami Grant","PF",35,146,0.24,"2015"
"Jerian Grant","PG",22,100,0.22,"2015"
"Danny Green","SG",116,349,0.332,"2015"
"Draymond Green","PF",100,258,0.388,"2015"
"Erick Green","PG",1,5,0.2,"2015"
"Erick Green","PG",0,1,0,"2015"
"Erick Green","PG",1,4,0.25,"2015"
"Gerald Green","SG",84,260,0.323,"2015"
"JaMychal Green","PF",15,45,0.333,"2015"
"Jeff Green","SF",67,213,0.315,"2015"
"Jeff Green","SF",42,136,0.309,"2015"
"Jeff Green","SF",25,77,0.325,"2015"
"Blake Griffin","PF",6,18,0.333,"2015"
"Jorge Gutiérrez","PG",0,2,0,"2015"
"P.J. Hairston","SF",70,241,0.29,"2015"
"P.J. Hairston","SF",54,172,0.314,"2015"
"P.J. Hairston","SF",16,69,0.232,"2015"
"Jordan Hamilton","SF",13,45,0.289,"2015"
"Tyler Hansbrough","PF",2,3,0.667,"2015"
"Tim Hardaway Jr.","SG",48,142,0.338,"2015"
"James Harden","SG",236,657,0.359,"2015"
"Maurice Harkless","SF",39,140,0.279,"2015"
"Justin Harper","PF",4,9,0.444,"2015"
"Montrezl Harrell","PF",0,1,0,"2015"
"Devin Harris","PG",52,158,0.329,"2015"
"Gary Harris","SG",105,297,0.354,"2015"
"Joe Harris","SG",1,4,0.25,"2015"
"Tobias Harris","PF",80,239,0.335,"2015"
"Tobias Harris","PF",47,151,0.311,"2015"
"Tobias Harris","PF",33,88,0.375,"2015"
"Aaron Harrison","SG",3,10,0.3,"2015"
