"Player","Pos","X3P","X3PA","X3P.","year"
"Tariq Abdul-Wahad","SG",0,1,0,"2002"
"Shareef Abdur-Rahim","PF",21,60,0.35,"2002"
"Courtney Alexander","PG",19,57,0.333,"2002"
"Malik Allen","PF",0,4,0,"2002"
"Ray Allen*","SG",201,533,0.377,"2002"
"Ray Allen*","SG",123,311,0.395,"2002"
"Ray Allen*","SG",78,222,0.351,"2002"
"Rafer Alston","PG",51,130,0.392,"2002"
"Chris Andersen","C",0,1,0,"2002"
"Derek Anderson","PG",116,331,0.35,"2002"
"Kenny Anderson","PG",1,7,0.143,"2002"
"Kenny Anderson","PG",0,5,0,"2002"
"Kenny Anderson","PG",1,2,0.5,"2002"
"Shandon Anderson","SF",52,140,0.371,"2002"
"Gilbert Arenas","PG",109,313,0.348,"2002"
"Brandon Armstrong","SG",1,6,0.167,"2002"
"Darrell Armstrong","PG",78,232,0.336,"2002"
"Carlos Arroyo","PG",3,7,0.429,"2002"
"Chucky Atkins","PG",86,242,0.355,"2002"
"Stacey Augmon","SG",0,7,0,"2002"
"Vin Baker","C",0,4,0,"2002"
"Brent Barry","SG",118,293,0.403,"2002"
"Jon Barry","SG",87,214,0.407,"2002"
"Mengke Bateer","C",1,3,0.333,"2002"
"Mike Batiste","PF",18,81,0.222,"2002"
"Tony Battie","C",1,5,0.2,"2002"
"Shane Battier","SF",86,216,0.398,"2002"
"Lonny Baxter","C",0,2,0,"2002"
"Raja Bell","SG",21,51,0.412,"2002"
"Jonathan Bender","SF",19,53,0.358,"2002"
"Corey Benjamin","SG",2,13,0.154,"2002"
"Travis Best","PG",36,109,0.33,"2002"
"Mike Bibby","PG",56,137,0.409,"2002"
"Chauncey Billups","PG",149,380,0.392,"2002"
"Calvin Booth","C",0,2,0,"2002"
"Carlos Boozer","PF",0,1,0,"2002"
"Bruce Bowen","SF",101,229,0.441,"2002"
"Ryan Bowen","SG",2,7,0.286,"2002"
"Earl Boykins","PG",29,77,0.377,"2002"
"Michael Bradley","PF",1,6,0.167,"2002"
"Shawn Bradley","C",0,1,0,"2002"
"Elton Brand","PF",0,1,0,"2002"
"J.R. Bremer","PG",101,286,0.353,"2002"
"Jamison Brewer","PG",0,2,0,"2002"
"Primož Brezec","C",0,1,0,"2002"
"Damone Brown","PF",0,2,0,"2002"
"Devin Brown","SG",0,1,0,"2002"
"Devin Brown","SG",0,1,0,"2002"
"Kedrick Brown","SF",3,39,0.077,"2002"
"Kwame Brown","C",0,3,0,"2002"
"P.J. Brown","PF",0,3,0,"2002"
"Tierre Brown","PG",0,1,0,"2002"
"Rick Brunson","PG",4,6,0.667,"2002"
"Kobe Bryant*","SG",124,324,0.383,"2002"
"Greg Buckner","SG",15,55,0.273,"2002"
"Pat Burke","C",1,7,0.143,"2002"
"Caron Butler","SF",34,107,0.318,"2002"
"Rasual Butler","SG",50,171,0.292,"2002"
"Marcus Camby","C",2,5,0.4,"2002"
"Elden Campbell","C",0,1,0,"2002"
"Elden Campbell","C",0,1,0,"2002"
"Brian Cardinal","PF",0,1,0,"2002"
"Anthony Carter","PG",0,8,0,"2002"
"Vince Carter","SG",45,131,0.344,"2002"
"Sam Cassell","PG",59,163,0.362,"2002"
"Kelvin Cato","C",0,4,0,"2002"
"Calbert Cheaney","SG",10,25,0.4,"2002"
"Chris Childs","PG",1,6,0.167,"2002"
"Doug Christie","SG",73,185,0.395,"2002"
"Keon Clark","C",0,4,0,"2002"
"Speedy Claxton","PG",0,11,0,"2002"
"Mateen Cleaves","PG",1,1,1,"2002"
"Derrick Coleman","C",22,67,0.328,"2002"
"Bimbo Coles","PG",7,32,0.219,"2002"
"Bimbo Coles","PG",7,25,0.28,"2002"
"Bimbo Coles","PG",0,7,0,"2002"
"Jarron Collins","C",0,1,0,"2002"
"Jason Collins","C",0,4,0,"2002"
