"Player","Pos","X3P","X3PA","X3P.","year"
"Arron Afflalo","SG",88,221,0.398,"2011"
"Blake Ahearn","PG",2,9,0.222,"2011"
"LaMarcus Aldridge","PF",2,11,0.182,"2011"
"Ray Allen*","SG",106,234,0.453,"2011"
"Tony Allen","SG",8,26,0.308,"2011"
"Morris Almond","SG",1,3,0.333,"2011"
"Al-Farouq Aminu","SF",13,47,0.277,"2011"
"Alan Anderson","SF",24,61,0.393,"2011"
"James Anderson","SG",19,68,0.279,"2011"
"Ryan Anderson","PF",166,422,0.393,"2011"
"Carmelo Anthony","SF",68,203,0.335,"2011"
"Gilbert Arenas","PG",13,39,0.333,"2011"
"Trevor Ariza","SF",29,87,0.333,"2011"
"D.J. Augustin","PG",61,179,0.341,"2011"
"Gustavo Ayón","PF",0,1,0,"2011"
"Kelenna Azubuike","SG",1,3,0.333,"2011"
"Luke Babbitt","SF",43,100,0.43,"2011"
"Renaldo Balkman","SF",2,9,0.222,"2011"
"Leandro Barbosa","SG",65,170,0.382,"2011"
"Leandro Barbosa","SG",40,111,0.36,"2011"
"Leandro Barbosa","SG",25,59,0.424,"2011"
"J.J. Barea","PG",53,143,0.371,"2011"
"Andrea Bargnani","C",34,115,0.296,"2011"
"Matt Barnes","SF",46,138,0.333,"2011"
"Tony Battie","C",0,1,0,"2011"
"Shane Battier","SF",62,183,0.339,"2011"
"Nicolas Batum","SF",107,274,0.391,"2011"
"Jerryd Bayless","PG",44,104,0.423,"2011"
"Michael Beasley","SF",38,101,0.376,"2011"
"Rodrigue Beaubois","PG",38,132,0.288,"2011"
"Marco Belinelli","SG",107,284,0.377,"2011"
"Raja Bell","SG",34,87,0.391,"2011"
"Mike Bibby","PG",27,85,0.318,"2011"
"Chauncey Billups","SG",48,125,0.384,"2011"
"DeJuan Blair","PF",0,1,0,"2011"
"Steve Blake","PG",53,158,0.335,"2011"
"Andray Blatche","PF",2,7,0.286,"2011"
"Eric Bledsoe","PG",6,30,0.2,"2011"
"Keith Bogans","SF",3,12,0.25,"2011"
"Andrew Bogut","C",0,1,0,"2011"
"Matt Bonner","PF",105,250,0.42,"2011"
"Trevor Booker","PF",1,2,0.5,"2011"
"Carlos Boozer","PF",0,1,0,"2011"
"Chris Bosh","PF",10,35,0.286,"2011"
"Earl Boykins","PG",2,9,0.222,"2011"
"Craig Brackins","PF",3,9,0.333,"2011"
"Avery Bradley","PG",22,54,0.407,"2011"
"Elton Brand","C",0,1,0,"2011"
"Corey Brewer","SF",33,127,0.26,"2011"
"Ronnie Brewer","SG",19,69,0.275,"2011"
"Jon Brockman","PF",0,1,0,"2011"
"MarShon Brooks","SG",47,150,0.313,"2011"
"Derrick Brown","SF",6,24,0.25,"2011"
"Shannon Brown","SG",68,188,0.362,"2011"
"Kobe Bryant*","SG",87,287,0.303,"2011"
"Chase Budinger","SF",88,219,0.402,"2011"
"Alec Burks","SG",15,45,0.333,"2011"
"Caron Butler","SF",92,257,0.358,"2011"
"Jimmy Butler","SG",2,11,0.182,"2011"
"Rasual Butler","SF",21,77,0.273,"2011"
"Derrick Byars","PF",0,6,0,"2011"
"Andrew Bynum","C",1,5,0.2,"2011"
"Will Bynum","PG",7,29,0.241,"2011"
"José Calderón","PG",59,159,0.371,"2011"
"Marcus Camby","C",2,5,0.4,"2011"
"Marcus Camby","C",2,5,0.4,"2011"
"Brian Cardinal","SF",10,49,0.204,"2011"
"DeMarre Carroll","SF-PF",7,19,0.368,"2011"
"DeMarre Carroll","SF",7,19,0.368,"2011"
"Matt Carroll","SG",8,43,0.186,"2011"
"Anthony Carter","PG",5,17,0.294,"2011"
"Vince Carter","SG",74,205,0.361,"2011"
"Omri Casspi","SF",53,168,0.315,"2011"
"Mario Chalmers","PG",101,260,0.388,"2011"
"Tyson Chandler","C",0,2,0,"2011"
"Wilson Chandler","SF",3,12,0.25,"2011"
"Josh Childress","SF",4,24,0.167,"2011"
"Norris Cole","PG",21,76,0.276,"2011"
"Darren Collison","PG",34,94,0.362,"2011"
"Nick Collison","PF",0,1,0,"2011"
"Mike Conley","PG",60,159,0.377,"2011"
"Brian Cook","PF",10,50,0.2,"2011"
"Brian Cook","PF",5,27,0.185,"2011"
"Brian Cook","PF",5,23,0.217,"2011"
"Daequan Cook","SG",79,228,0.346,"2011"
"DeMarcus Cousins","C",2,14,0.143,"2011"
"Jamal Crawford","PG",80,260,0.308,"2011"
"Jordan Crawford","SG",79,273,0.289,"2011"
"Dante Cunningham","PF",0,2,0,"2011"
"Stephen Curry","PG",55,121,0.455,"2011"
"Samuel Dalembert","C",0,1,0,"2011"
"Marquis Daniels","SG",0,10,0,"2011"
"Baron Davis","PG",26,85,0.306,"2011"
"Ed Davis","PF",0,1,0,"2011"
"Glen Davis","PF",2,14,0.143,"2011"
"Josh Davis","PF",4,13,0.308,"2011"
"Austin Daye","SF",13,62,0.21,"2011"
"Carlos Delfino","SF",86,239,0.36,"2011"
"Luol Deng","SF",79,215,0.367,"2011"
"Justin Dentmon","PG",2,14,0.143,"2011"
"Justin Dentmon","PG",0,4,0,"2011"
"Justin Dentmon","PG",2,10,0.2,"2011"
"DeMar DeRozan","SG",24,92,0.261,"2011"
"Boris Diaw","PF",31,99,0.313,"2011"
"Boris Diaw","PF",23,86,0.267,"2011"
"Boris Diaw","PF",8,13,0.615,"2011"
"Keyon Dooling","SG",27,81,0.333,"2011"
"Toney Douglas","PG",27,117,0.231,"2011"
"Goran Dragić","PG",68,202,0.337,"2011"
"Jared Dudley","SG",80,209,0.383,"2011"
"Chris Duhon","PG",50,119,0.42,"2011"
"Tim Duncan*","C",0,4,0,"2011"
"Mike Dunleavy","SF",83,208,0.399,"2011"
"Kevin Durant","SF",133,344,0.387,"2011"
"Jerome Dyson","PG",1,8,0.125,"2011"
"Devin Ebanks","SG",0,9,0,"2011"
"Wayne Ellington","SG",35,108,0.324,"2011"
"Monta Ellis","SG",62,201,0.308,"2011"
"Monta Ellis","SG",50,156,0.321,"2011"
"Monta Ellis","SG",12,45,0.267,"2011"
"Andre Emmett","SF",0,1,0,"2011"
"Jeremy Evans","SF",0,1,0,"2011"
"Maurice Evans","SF",17,45,0.378,"2011"
"Tyreke Evans","SG",20,99,0.202,"2011"
"Christian Eyenga","SF",1,3,0.333,"2011"
"Christian Eyenga","SF",1,2,0.5,"2011"
"Christian Eyenga","SF",0,1,0,"2011"
"Jordan Farmar","PG",55,125,0.44,"2011"
"Raymond Felton","PG",62,203,0.305,"2011"
"Rudy Fernández","SG",40,122,0.328,"2011"
"Landry Fields","SG",31,121,0.256,"2011"
"Derek Fisher","PG",35,109,0.321,"2011"
"Derek Fisher","PG",24,74,0.324,"2011"
"Derek Fisher","PG",11,35,0.314,"2011"
"Jonny Flynn","PG",10,34,0.294,"2011"
"Jonny Flynn","PG",2,9,0.222,"2011"
"Jonny Flynn","PG",8,25,0.32,"2011"
"Gary Forbes","SG",29,83,0.349,"2011"
"T.J. Ford","PG",2,8,0.25,"2011"
"Courtney Fortson","PG",3,13,0.231,"2011"
"Courtney Fortson","PG",1,4,0.25,"2011"
"Courtney Fortson","PG",2,9,0.222,"2011"
"Jeff Foster","C",1,1,1,"2011"
"Randy Foye","SG",127,329,0.386,"2011"
"Jimmer Fredette","PG",78,216,0.361,"2011"
"Channing Frye","PF",91,263,0.346,"2011"
"Sundiata Gaines","SG",28,82,0.341,"2011"
"Danilo Gallinari","SF",60,183,0.328,"2011"
"Francisco García","SF",38,131,0.29,"2011"
"Kevin Garnett*","C",3,9,0.333,"2011"
