"Player","Pos","X3P","X3PA","X3P.","year"
"Kareem Rush","PG",19,68,0.279,2002
"Bryon Russell","SF",46,140,0.329,2002
"Arvydas Sabonis*","C",3,6,0.5,2002
"John Salmons","PG",10,31,0.323,2002
"Jeryl Sasser","SG",13,44,0.295,2002
"Kenny Satterfield","PG",5,28,0.179,2002
"Kenny Satterfield","PG",5,28,0.179,2002
"Predrag Savović","SG",4,26,0.154,2002
"Brian Scalabrine","PF",14,39,0.359,2002
"Brian Shaw","PG",38,109,0.349,2002
"Bobby Simmons","SG",0,5,0,2002
"Tamar Slay","SG",7,25,0.28,2002
"Charles Smith","SG",0,1,0,2002
"Joe Smith","SF",0,2,0,2002
"Steve Smith","SG",39,118,0.331,2002
"Eric Snow","PG",7,32,0.219,2002
"Latrell Sprewell","SF",134,360,0.372,2002
"Jerry Stackhouse","SG",71,245,0.29,2002
"DeShawn Stevenson","SG",4,12,0.333,2002
"John Stockton*","PG",29,80,0.363,2002
"Peja Stojaković","SF",155,406,0.382,2002
"Damon Stoudamire","PG",44,114,0.386,2002
"Amar'e Stoudemire","PF",2,10,0.2,2002
"Erick Strickland","SG",62,160,0.388,2002
"Rod Strickland","PG",1,11,0.091,2002
"Bruno Šundov","C",4,16,0.25,2002
"Bob Sura","SG",28,85,0.329,2002
"Stromile Swift","PF",0,2,0,2002
"Wally Szczerbiak","SF",61,145,0.421,2002
"Maurice Taylor","PF",0,2,0,2002
"Jason Terry","PG",160,431,0.371,2002
"Kurt Thomas","C",2,3,0.667,2002
"Tim Thomas","SF",97,265,0.366,2002
"Jamaal Tinsley","PG",46,166,0.277,2002
"Óscar Torres","SG",7,13,0.538,2002
"Robert Traylor","C",1,3,0.333,2002
"Gary Trent","SF",0,2,0,2002
"Jeff Trepagnier","SG",4,8,0.5,2002
"Nikoloz Tskitishvili","SF",37,152,0.243,2002
"Hedo Türkoğlu","SF",29,78,0.372,2002
"Nick Van Exel","SG",118,312,0.378,2002
"Keith Van Horn","PF",65,176,0.369,2002
"Jacque Vaughn","PG",8,34,0.235,2002
"Dajuan Wagner","SG",55,174,0.316,2002
"Antoine Walker","PF",188,582,0.323,2002
"Samaki Walker","C",0,1,0,2002
"Ben Wallace","C",1,6,0.167,2002
"Gerald Wallace","SF",1,4,0.25,2002
"Rasheed Wallace","PF",110,307,0.358,2002
"Charlie Ward","PG",101,267,0.378,2002
"Earl Watson","PG",31,91,0.341,2002
"Chris Webber","PF",5,21,0.238,2002
"Bonzi Wells","SG",38,130,0.292,2002
"Jiří Welsch","SF",1,4,0.25,2002
"David Wesley","SG",134,316,0.424,2002
"Rodney White","SG",32,134,0.239,2002
"Chris Whitney","PG",50,164,0.305,2002
"Chris Whitney","PG",43,128,0.336,2002
"Chris Whitney","PG",7,36,0.194,2002
"Mike Wilks","PG-SG",10,35,0.286,2002
"Mike Wilks","SG",6,17,0.353,2002
"Mike Wilks","PG",4,18,0.222,2002
"Aaron Williams","C",0,1,0,2002
"Alvin Williams","PG",48,146,0.329,2002
"Brandon Williams","SF",0,1,0,2002
"Eric Williams","SF",37,110,0.336,2002
"Frank Williams","PG",6,16,0.375,2002
"Jason Williams","PG",143,404,0.354,2002
"Jay Williams","PG",65,202,0.322,2002
"Jerome Williams","PF",1,6,0.167,2002
"Monty Williams","SF",0,2,0,2002
"Scott Williams","C",0,2,0,2002
"Shammond Williams","PG",93,261,0.356,2002
"Shammond Williams","PG",56,159,0.352,2002
"Shammond Williams","PG",37,102,0.363,2002
"Walt Williams","SF",64,171,0.374,2002
"Corliss Williamson","SF",2,11,0.182,2002
"Kevin Willis","C",0,2,0,2002
"Rubén Wolkowyski","PF",0,1,0,2002
"Loren Woods","C",1,3,0.333,2002
"Qyntel Woods","PF",3,9,0.333,2002
"Metta World Peace","SF",71,211,0.336,2002
"Lorenzen Wright","C",0,5,0,2002
"Vincent Yarbrough","SG",21,78,0.269,2002
"Wang Zhizhi","C",16,47,0.34,2002
"Shareef Abdur-Rahim","PF",9,34,0.265,2003
"Shareef Abdur-Rahim","PF",5,23,0.217,2003
"Shareef Abdur-Rahim","PF",4,11,0.364,2003
"Ray Allen*","SG",148,378,0.392,2003
"Rafer Alston","PG",161,434,0.371,2003
"Chris Andersen","PF",0,1,0,2003
"Derek Anderson","SG",79,259,0.305,2003
"Kenny Anderson","PG",1,4,0.25,2003
"Shandon Anderson","SG",36,128,0.281,2003
"Carmelo Anthony","SF",69,214,0.322,2003
"Gilbert Arenas","PG",125,333,0.375,2003
"Brandon Armstrong","SG",19,52,0.365,2003
"Darrell Armstrong","PG",135,429,0.315,2003
"Carlos Arroyo","PG",38,117,0.325,2003
"Chucky Atkins","PG",81,241,0.336,2003
"Chucky Atkins","PG",42,130,0.323,2003
"Chucky Atkins","PG",39,111,0.351,2003
