"Player","Pos","X3P","X3PA","X3P.","year"
"Álex Abrines","SG",41,127,0.323,"2018"
"Quincy Acy","PF",2,15,0.133,"2018"
"Jaylen Adams","PG",25,74,0.338,"2018"
"Steven Adams","C",0,2,0,"2018"
"Bam Adebayo","C",3,15,0.2,"2018"
"Deng Adel","SF",6,23,0.261,"2018"
"DeVaughn Akoon-Purcell","SG",0,4,0,"2018"
"LaMarcus Aldridge","C",10,42,0.238,"2018"
"Rawle Alkins","SG",3,12,0.25,"2018"
"Grayson Allen","SG",32,99,0.323,"2018"
"Jarrett Allen","C",6,45,0.133,"2018"
"Kadeem Allen","PG",17,36,0.472,"2018"
"Al-Farouq Aminu","PF",96,280,0.343,"2018"
"Justin Anderson","SF",24,77,0.312,"2018"
"Kyle Anderson","SF",9,34,0.265,"2018"
"Ryan Anderson","PF",9,40,0.225,"2018"
"Ryan Anderson","PF",7,34,0.206,"2018"
"Ryan Anderson","PF",2,6,0.333,"2018"
"Giannis Antetokounmpo","PF",52,203,0.256,"2018"
"Carmelo Anthony","PF",21,64,0.328,"2018"
"OG Anunoby","SF",67,202,0.332,"2018"
"Ryan Arcidiacono","PG",81,217,0.373,"2018"
"Trevor Ariza","SF",145,434,0.334,"2018"
"Trevor Ariza","SF",50,139,0.36,"2018"
"Trevor Ariza","SF",95,295,0.322,"2018"
"D.J. Augustin","PG",131,311,0.421,"2018"
"Deandre Ayton","C",0,4,0,"2018"
"Dwayne Bacon","SG",38,87,0.437,"2018"
"Marvin Bagley III","PF",30,96,0.313,"2018"
"Ron Baker","SG",1,13,0.077,"2018"
"Ron Baker","SG",1,9,0.111,"2018"
"Ron Baker","SG",0,4,0,"2018"
"Wade Baldwin","PG",2,9,0.222,"2018"
"Lonzo Ball","PG",75,228,0.329,"2018"
"Mo Bamba","C",21,70,0.3,"2018"
"J.J. Barea","PG",38,128,0.297,"2018"
"Harrison Barnes","PF-SF",174,441,0.395,"2018"
"Harrison Barnes","PF",121,311,0.389,"2018"
"Harrison Barnes","SF",53,130,0.408,"2018"
"Will Barton","SF",67,196,0.342,"2018"
"Keita Bates-Diop","SF",13,52,0.25,"2018"
"Nicolas Batum","SF",116,298,0.389,"2018"
"Jerryd Bayless","PG",29,98,0.296,"2018"
"Aron Baynes","C",21,61,0.344,"2018"
"Kent Bazemore","SG",96,300,0.32,"2018"
"Bradley Beal","SG",209,596,0.351,"2018"
"Malik Beasley","SG",163,405,0.402,"2018"
"Michael Beasley","PF",3,17,0.176,"2018"
"Marco Belinelli","SG",147,395,0.372,"2018"
"Jordan Bell","C",0,2,0,"2018"
"DeAndre' Bembry","SG",50,173,0.289,"2018"
"Dragan Bender","PF",22,101,0.218,"2018"
"Dairis Bertāns","SG",10,34,0.294,"2018"
"Dāvis Bertāns","PF",145,338,0.429,"2018"
"Patrick Beverley","PG",112,282,0.397,"2018"
"Khem Birch","C",0,1,0,"2018"
"Nemanja Bjelica","PF",103,257,0.401,"2018"
"Antonio Blakeney","SG",36,91,0.396,"2018"
"Eric Bledsoe","PG",124,377,0.329,"2018"
"Jaron Blossomgame","SF",10,39,0.256,"2018"
"Bogdan Bogdanović","SG",134,372,0.36,"2018"
"Bojan Bogdanović","SF",164,386,0.425,"2018"
"Jonah Bolden","PF",34,96,0.354,"2018"
"Isaac Bonga","PG",0,8,0,"2018"
"Devin Booker","SG",135,414,0.326,"2018"
"Chris Boucher","PF",12,37,0.324,"2018"
"Avery Bradley","SG",86,245,0.351,"2018"
"Avery Bradley","SG",58,172,0.337,"2018"
"Avery Bradley","SG",28,73,0.384,"2018"
"Corey Brewer","SF",14,44,0.318,"2018"
"Corey Brewer","SF",4,14,0.286,"2018"
"Corey Brewer","SF",10,30,0.333,"2018"
"Mikal Bridges","SF",105,313,0.335,"2018"
"Miles Bridges","SF",65,200,0.325,"2018"
"Isaiah Briscoe","PG",11,34,0.324,"2018"
"Ryan Broekhoff","SG",38,93,0.409,"2018"
