"Player","Pos","X3P","X3PA","X3P.","year"
"Shareef Abdur-Rahim","PF",5,22,0.227,"2005"
"Alex Acker","SG",1,5,0.2,"2005"
"Malik Allen","PF",1,1,1,"2005"
"Ray Allen*","SG",269,653,0.412,"2005"
"Tony Allen","PG",11,34,0.324,"2005"
"Rafer Alston","PG",102,312,0.327,"2005"
"Alan Anderson","SF",24,58,0.414,"2005"
"Derek Anderson","SG",40,134,0.299,"2005"
"Derek Anderson","SG",19,67,0.284,"2005"
"Derek Anderson","SG",21,67,0.313,"2005"
"Shandon Anderson","SF",5,19,0.263,"2005"
"Carmelo Anthony","SF",37,152,0.243,"2005"
"Rafael Araújo","C",0,1,0,"2005"
"Gilbert Arenas","PG",199,540,0.369,"2005"
"Trevor Ariza","SF",1,5,0.2,"2005"
"Trevor Ariza","SF",1,3,0.333,"2005"
"Trevor Ariza","SF",0,2,0,"2005"
"Darrell Armstrong","PG",11,48,0.229,"2005"
"Carlos Arroyo","PG-SG",7,20,0.35,"2005"
"Carlos Arroyo","PG",2,6,0.333,"2005"
"Carlos Arroyo","SG",5,14,0.357,"2005"
"Chucky Atkins","PG-SG",97,274,0.354,"2005"
"Chucky Atkins","SG",33,92,0.359,"2005"
"Chucky Atkins","PG",64,182,0.352,"2005"
"Marcus Banks","PG",22,63,0.349,"2005"
"Marcus Banks","PG",6,19,0.316,"2005"
"Marcus Banks","PG",16,44,0.364,"2005"
"Leandro Barbosa","SG",87,196,0.444,"2005"
"Matt Barnes","PF-SF",3,15,0.2,"2005"
"Matt Barnes","SF",1,4,0.25,"2005"
"Matt Barnes","PF",2,11,0.182,"2005"
"Andre Barrett","PG",2,14,0.143,"2005"
"Andre Barrett","PG",0,1,0,"2005"
"Andre Barrett","PG",2,13,0.154,"2005"
"Brent Barry","SG",80,202,0.396,"2005"
"Jon Barry","SG",12,32,0.375,"2005"
"Eddie Basden","SF",1,7,0.143,"2005"
"Esteban Batista","PF",0,1,0,"2005"
"Tony Battie","C",0,6,0,"2005"
"Shane Battier","SF",65,165,0.394,"2005"
"Charlie Bell","SG",71,168,0.423,"2005"
"Raja Bell","SG",197,446,0.442,"2005"
"Mike Bibby","PG",192,497,0.386,"2005"
"Chauncey Billups","PG",184,425,0.433,"2005"
"Steve Blake","PG",76,184,0.413,"2005"
"Andray Blatche","PF",3,13,0.231,"2005"
"Keith Bogans","SG-SF",65,200,0.325,"2005"
"Keith Bogans","SG",33,98,0.337,"2005"
"Keith Bogans","SF",32,102,0.314,"2005"
"Andrew Bogut","PF",0,3,0,"2005"
"Matt Bonner","PF",102,243,0.42,"2005"
"Calvin Booth","C",1,2,0.5,"2005"
"Chris Bosh","C",0,13,0,"2005"
"Bruce Bowen","SF",104,245,0.424,"2005"
"Ryan Bowen","SF",3,22,0.136,"2005"
"Earl Boykins","PG",62,179,0.346,"2005"
"Michael Bradley","PF",1,5,0.2,"2005"
"Elton Brand","PF",1,3,0.333,"2005"
"Primož Brezec","C",0,2,0,"2005"
"Devin Brown","SG",39,118,0.331,"2005"
"Kwame Brown","C",0,1,0,"2005"
"Rick Brunson","PG",5,13,0.385,"2005"
"Rick Brunson","PG",0,1,0,"2005"
"Rick Brunson","PG",5,12,0.417,"2005"
"Kobe Bryant*","SG",180,518,0.347,"2005"
"Greg Buckner","SG",86,243,0.354,"2005"
"Pat Burke","C",2,7,0.286,"2005"
"Antonio Burks","PG",1,6,0.167,"2005"
"Kevin Burleson","PG",10,54,0.185,"2005"
"Caron Butler","SF",41,120,0.342,"2005"
"Rasual Butler","SF",92,242,0.38,"2005"
"Will Bynum","PG",2,9,0.222,"2005"
"Žarko Čabarkapa","PF",5,20,0.25,"2005"
"José Calderón","SG",7,43,0.163,"2005"
"Marcus Camby","C",1,11,0.091,"2005"
"Brian Cardinal","PF",13,29,0.448,"2005"
"Matt Carroll","SG",72,185,0.389,"2005"
"Anthony Carter","PG",4,15,0.267,"2005"
"Vince Carter","SG",125,367,0.341,"2005"
"Sam Cassell","PG",70,190,0.368,"2005"
