"Player","Pos","X3P","X3PA","X3P.","year"
"Precious Achiuwa","PF",0,1,0,"2020"
"Jaylen Adams","PG",0,2,0,"2020"
"Steven Adams","C",0,3,0,"2020"
"Bam Adebayo","C",2,8,0.25,"2020"
"LaMarcus Aldridge","C",31,80,0.388,"2020"
"LaMarcus Aldridge","C",27,75,0.36,"2020"
"LaMarcus Aldridge","C",4,5,0.8,"2020"
"Ty-Shon Alexander","SG",2,9,0.222,"2020"
"Nickeil Alexander-Walker","SG",76,219,0.347,"2020"
"Grayson Allen","SG",107,274,0.391,"2020"
"Jarrett Allen","C",6,19,0.316,"2020"
"Jarrett Allen","C",6,19,0.316,"2020"
"Al-Farouq Aminu","PF",8,37,0.216,"2020"
"Al-Farouq Aminu","PF",7,31,0.226,"2020"
"Al-Farouq Aminu","PF",1,6,0.167,"2020"
"Kyle Anderson","PF",94,261,0.36,"2020"
"Giannis Antetokounmpo","PF",67,221,0.303,"2020"
"Thanasis Antetokounmpo","SF",7,29,0.241,"2020"
"Carmelo Anthony","PF",133,325,0.409,"2020"
"Cole Anthony","PG",58,172,0.337,"2020"
"OG Anunoby","SF",104,261,0.398,"2020"
"Ryan Arcidiacono","PG",25,67,0.373,"2020"
"Trevor Ariza","SF",50,143,0.35,"2020"
"D.J. Augustin","PG",83,217,0.382,"2020"
"D.J. Augustin","PG",49,129,0.38,"2020"
"D.J. Augustin","PG",34,88,0.386,"2020"
"Deni Avdija","SF",53,168,0.315,"2020"
"Deandre Ayton","C",4,20,0.2,"2020"
"Dwayne Bacon","SG",59,207,0.285,"2020"
"Marvin Bagley III","PF",37,108,0.343,"2020"
"LaMelo Ball","PG",92,261,0.352,"2020"
"Lonzo Ball","PG",172,455,0.378,"2020"
"Mo Bamba","C",38,118,0.322,"2020"
"Desmond Bane","SG",117,271,0.432,"2020"
"Harrison Barnes","PF",100,256,0.391,"2020"
"RJ Barrett","SG",124,309,0.401,"2020"
"Will Barton","SF",98,257,0.381,"2020"
"Keita Bates-Diop","SF",5,17,0.294,"2020"
"Nicolas Batum","SF",110,272,0.404,"2020"
"Aron Baynes","C",27,103,0.262,"2020"
"Kent Bazemore","SF",75,184,0.408,"2020"
"Darius Bazley","PF",83,286,0.29,"2020"
"Bradley Beal","SG",130,373,0.349,"2020"
"Malik Beasley","SG",128,321,0.399,"2020"
"Jordan Bell","C",0,2,0,"2020"
"Jordan Bell","C",0,2,0,"2020"
"DeAndre' Bembry","SF",14,53,0.264,"2020"
"Dāvis Bertāns","PF",169,428,0.395,"2020"
"Patrick Beverley","PG",56,141,0.397,"2020"
"Saddiq Bey","SF",175,460,0.38,"2020"
"Tyler Bey","SF",1,4,0.25,"2020"
"Khem Birch","C",13,52,0.25,"2020"
"Khem Birch","C",4,21,0.19,"2020"
"Khem Birch","C",9,31,0.29,"2020"
"Goga Bitadze","C",20,79,0.253,"2020"
"Bismack Biyombo","C",0,1,0,"2020"
"Nemanja Bjelica","PF",27,85,0.318,"2020"
"Nemanja Bjelica","PF",17,58,0.293,"2020"
"Nemanja Bjelica","PF",10,27,0.37,"2020"
"Eric Bledsoe","SG",121,355,0.341,"2020"
"Keljin Blevins","SF",2,8,0.25,"2020"
"Bogdan Bogdanović","SG",146,333,0.438,"2020"
"Bojan Bogdanović","SF",180,461,0.39,"2020"
"Bol Bol","PF",9,24,0.375,"2020"
"Jordan Bone","PG",10,32,0.313,"2020"
"Isaac Bonga","SF",13,47,0.277,"2020"
"Devin Booker","SG",126,371,0.34,"2020"
"Chris Boucher","C",90,235,0.383,"2020"
"Brian Bowen","SF",0,1,0,"2020"
"Avery Bradley","SG",33,101,0.327,"2020"
"Avery Bradley","SG",16,38,0.421,"2020"
"Avery Bradley","SG",17,63,0.27,"2020"
"Tony Bradley","C",0,3,0,"2020"
"Tony Bradley","C",0,1,0,"2020"
"Tony Bradley","C",0,2,0,"2020"
"Jarrell Brantley","PF",12,28,0.429,"2020"
"Ignas Brazdeikis","SF",11,28,0.393,"2020"
"Ignas Brazdeikis","SF",0,1,0,"2020"
"Ignas Brazdeikis","SF",11,27,0.407,"2020"
"Mikal Bridges","SF",134,315,0.425,"2020"
"Miles Bridges","PF",116,290,0.4,"2020"
"Oshae Brissett","SF",33,78,0.423,"2020"
"Malcolm Brogdon","PG",145,374,0.388,"2020"
"Armoni Brooks","SG",60,157,0.382,"2020"
"Dillon Brooks","SF",128,372,0.344,"2020"
"Bruce Brown","PG",17,59,0.288,"2020"
"Charlie Brown","SG",5,21,0.238,"2020"
"Jaylen Brown","SG",163,411,0.397,"2020"
"Sterling Brown","SG",91,215,0.423,"2020"
"Troy Brown Jr.","SF",22,70,0.314,"2020"
"Troy Brown Jr.","SF",14,46,0.304,"2020"
"Troy Brown Jr.","SF",8,24,0.333,"2020"
"Jalen Brunson","PG",81,200,0.405,"2020"
"Elijah Bryant","G",1,5,0.2,"2020"
"Thomas Bryant","C",9,21,0.429,"2020"
"Reggie Bullock","SF",163,398,0.41,"2020"
"Trey Burke","PG",58,164,0.354,"2020"
"Alec Burks","SG",102,246,0.415,"2020"
"Jimmy Butler","SF",25,102,0.245,"2020"
"Bruno Caboclo","PF",0,5,0,"2020"
"Kentavious Caldwell-Pope","SG",120,293,0.41,"2020"
"Facundo Campazzo","PG",76,216,0.352,"2020"
"Vlatko Čančar","PF",9,33,0.273,"2020"
"Devin Cannady","PG",6,16,0.375,"2020"
"Vernon Carey Jr.","C",1,7,0.143,"2020"
"Jevon Carter","PG",56,151,0.371,"2020"
"Wendell Carter Jr.","C",15,51,0.294,"2020"
"Wendell Carter Jr.","C",8,22,0.364,"2020"
"Wendell Carter Jr.","C",7,29,0.241,"2020"
"Michael Carter-Williams","SG",15,61,0.246,"2020"
"Alex Caruso","PG",55,137,0.401,"2020"
"Willie Cauley-Stein","C",1,11,0.091,"2020"
"Chris Chiozza","PG",13,42,0.31,"2020"
"Marquese Chriss","PF",1,5,0.2,"2020"
"Gary Clark","SF",31,108,0.287,"2020"
"Gary Clark","SF",31,108,0.287,"2020"
"Brandon Clarke","PF",20,77,0.26,"2020"
"Jordan Clarkson","SG",208,599,0.347,"2020"
"Nicolas Claxton","C",1,5,0.2,"2020"
"Amir Coffey","SG",23,56,0.411,"2020"
"John Collins","PF",83,208,0.399,"2020"
