"Player","Pos","X3P","X3PA","X3P.","year"
"Álex Abrines","SG",94,247,0.381,"2016"
"Quincy Acy","PF",37,90,0.411,"2016"
"Quincy Acy","PF",1,7,0.143,"2016"
"Quincy Acy","PF",36,83,0.434,"2016"
"Steven Adams","C",0,1,0,"2016"
"Arron Afflalo","SG",62,151,0.411,"2016"
"Alexis Ajinça","C",0,4,0,"2016"
"LaMarcus Aldridge","PF",23,56,0.411,"2016"
"Lavoy Allen","PF",0,1,0,"2016"
"Tony Allen","SG",15,54,0.278,"2016"
"Al-Farouq Aminu","PF",70,212,0.33,"2016"
"Chris Andersen","C",0,3,0,"2016"
"Alan Anderson","SF",14,44,0.318,"2016"
"Justin Anderson","SF",58,194,0.299,"2016"
"Justin Anderson","SF",37,122,0.303,"2016"
"Justin Anderson","SF",21,72,0.292,"2016"
"Kyle Anderson","SF",15,40,0.375,"2016"
"Ryan Anderson","PF",204,506,0.403,"2016"
"Giannis Antetokounmpo","SF",49,180,0.272,"2016"
"Carmelo Anthony","SF",151,421,0.359,"2016"
"Trevor Ariza","SF",191,555,0.344,"2016"
"Darrell Arthur","PF",53,117,0.453,"2016"
"D.J. Augustin","PG",95,274,0.347,"2016"
"Luke Babbitt","SF",87,210,0.414,"2016"
"Ron Baker","SG",23,86,0.267,"2016"
"Wade Baldwin","PG",3,22,0.136,"2016"
"Leandro Barbosa","SG",35,98,0.357,"2016"
"J.J. Barea","PG",53,148,0.358,"2016"
"Harrison Barnes","PF",78,222,0.351,"2016"
"Matt Barnes","SF",87,263,0.331,"2016"
"Matt Barnes","SF",69,211,0.327,"2016"
"Matt Barnes","SF",18,52,0.346,"2016"
"Will Barton","SG",87,235,0.37,"2016"
"Brandon Bass","PF",1,3,0.333,"2016"
"Nicolas Batum","SG",135,405,0.333,"2016"
"Jerryd Bayless","PG",2,5,0.4,"2016"
"Kent Bazemore","SF",92,266,0.346,"2016"
"Bradley Beal","SG",223,552,0.404,"2016"
"Malik Beasley","SG",9,28,0.321,"2016"
"Michael Beasley","PF",18,43,0.419,"2016"
"Marco Belinelli","SG",102,283,0.36,"2016"
"DeAndre' Bembry","SF",1,18,0.056,"2016"
"Dragan Bender","PF",28,101,0.277,"2016"
"Anthony Bennett","PF",13,48,0.271,"2016"
"Ben Bentil","PF",0,1,0,"2016"
"Dāvis Bertāns","PF",69,173,0.399,"2016"
"Patrick Beverley","SG",110,288,0.382,"2016"
"Nemanja Bjelica","PF",56,177,0.316,"2016"
"Tarik Black","C",1,2,0.5,"2016"
"Eric Bledsoe","PG",104,310,0.335,"2016"
"Bojan Bogdanović","SF",144,392,0.367,"2016"
"Bojan Bogdanović","SF",99,277,0.357,"2016"
"Bojan Bogdanović","SF",45,115,0.391,"2016"
"Andrew Bogut","C",0,1,0,"2016"
"Andrew Bogut","C",0,1,0,"2016"
"Joel Bolomboy","PF",1,4,0.25,"2016"
"Devin Booker","SG",147,405,0.363,"2016"
"Trevor Booker","PF",25,78,0.321,"2016"
"Avery Bradley","SG",108,277,0.39,"2016"
"Corey Brewer","SF",27,118,0.229,"2016"
"Corey Brewer","SF",22,94,0.234,"2016"
"Corey Brewer","SF",5,24,0.208,"2016"
"Malcolm Brogdon","SG",78,193,0.404,"2016"
"Aaron Brooks","PG",48,128,0.375,"2016"
"Anthony Brown","SF",7,27,0.259,"2016"
"Anthony Brown","SF",6,24,0.25,"2016"
"Anthony Brown","SF",1,3,0.333,"2016"
"Bobby Brown","PG",14,35,0.4,"2016"
"Jaylen Brown","SF",46,135,0.341,"2016"
"Nicolás Brussino","SG",29,95,0.305,"2016"
"Reggie Bullock","SF",28,73,0.384,"2016"
"Trey Burke","PG",31,70,0.443,"2016"
"Alec Burks","SG",25,76,0.329,"2016"
"Jimmy Butler","SF",91,248,0.367,"2016"
"Bruno Caboclo","SF",2,6,0.333,"2016"
"José Calderón","PG",20,64,0.313,"2016"
"José Calderón","PG",12,34,0.353,"2016"
"José Calderón","PG",8,30,0.267,"2016"
"Kentavious Caldwell-Pope","SG",153,437,0.35,"2016"
"Isaiah Canaan","SG",25,94,0.266,"2016"
"DeMarre Carroll","SF",109,320,0.341,"2016"
"Vince Carter","SF",112,296,0.378,"2016"
"Michael Carter-Williams","PG",15,64,0.234,"2016"
"Omri Casspi","PF",15,43,0.349,"2016"
"Omri Casspi","PF",11,29,0.379,"2016"
"Omri Casspi","PF",2,4,0.5,"2016"
"Omri Casspi","PF",2,10,0.2,"2016"
"Willie Cauley-Stein","C",0,2,0,"2016"
"Wilson Chandler","SF",110,326,0.337,"2016"
"Marquese Chriss","PF",72,224,0.321,"2016"
"Semaj Christon","PG",12,63,0.19,"2016"
"Ian Clark","SG",61,163,0.374,"2016"
"Jordan Clarkson","SG",117,356,0.329,"2016"
"Norris Cole","PG",3,13,0.231,"2016"
"Darren Collison","PG",73,175,0.417,"2016"
"Nick Collison","PF",0,1,0,"2016"
"Mike Conley","PG",171,419,0.408,"2016"
"Pat Connaughton","SG",17,33,0.515,"2016"
"Quinn Cook","PG",11,26,0.423,"2016"
"Quinn Cook","PG",5,14,0.357,"2016"
"Quinn Cook","PG",6,12,0.5,"2016"
"DeMarcus Cousins","C",131,363,0.361,"2016"
"DeMarcus Cousins","C",95,267,0.356,"2016"
"DeMarcus Cousins","C",36,96,0.375,"2016"
"Robert Covington","SF",137,412,0.333,"2016"
"Allen Crabbe","SG",134,302,0.444,"2016"
"Jamal Crawford","SG",116,322,0.36,"2016"
"Jordan Crawford","SG",37,95,0.389,"2016"
"Jae Crowder","SF",157,394,0.398,"2016"
"Dante Cunningham","PF",71,181,0.392,"2016"
"Seth Curry","PG",137,322,0.425,"2016"
"Stephen Curry","PG",324,789,0.411,"2016"
"Troy Daniels","SG",138,355,0.389,"2016"
"Anthony Davis","C",40,134,0.299,"2016"
"Sam Dekker","PF",60,187,0.321,"2016"
"Malcolm Delaney","PG",26,110,0.236,"2016"
"Matthew Dellavedova","PG",79,215,0.367,"2016"
"Luol Deng","SF",51,165,0.309,"2016"
"DeMar DeRozan","SG",33,124,0.266,"2016"
"Boris Diaw","PF",20,81,0.247,"2016"
"Gorgui Dieng","PF",16,43,0.372,"2016"
"Spencer Dinwiddie","PG",38,101,0.376,"2016"
"Toney Douglas","PG",7,42,0.167,"2016"
"Goran Dragić","PG",117,289,0.405,"2016"
"Andre Drummond","C",2,7,0.286,"2016"
"Jared Dudley","PF",77,203,0.379,"2016"
"Mike Dunleavy","SF",53,134,0.396,"2016"
"Mike Dunleavy","SF",20,57,0.351,"2016"
"Mike Dunleavy","SF",33,77,0.429,"2016"
"Kris Dunn","PG",21,73,0.288,"2016"
"Kevin Durant","PF",117,312,0.375,"2016"
"Jarell Eddie","SF",4,16,0.25,"2016"
"Henry Ellenson","PF",10,35,0.286,"2016"
"Wayne Ellington","SG",149,394,0.378,"2016"
"Monta Ellis","SG",43,135,0.319,"2016"
"Joel Embiid","C",36,98,0.367,"2016"
"James Ennis","SF",51,137,0.372,"2016"
"Tyler Ennis","PG",27,70,0.386,"2016"
"Tyler Ennis","PG",6,16,0.375,"2016"
"Tyler Ennis","PG",21,54,0.389,"2016"
"Tyreke Evans","SF",42,118,0.356,"2016"
"Tyreke Evans","SF",21,70,0.3,"2016"
