"Player","Pos","X3P","X3PA","X3P.","year"
"Shareef Abdur-Rahim","PF",15,39,0.385,"2004"
"Cory Alexander","SG",8,19,0.421,"2004"
"Ray Allen*","SG",209,556,0.376,"2004"
"Tony Allen","SG",12,31,0.387,"2004"
"Rafer Alston","PG",139,389,0.357,"2004"
"Chris Andersen","C",0,3,0,"2004"
"Derek Anderson","SG",58,151,0.384,"2004"
"Kenny Anderson","PG",6,13,0.462,"2004"
"Kenny Anderson","PG",6,13,0.462,"2004"
"Shandon Anderson","SF-SG",5,29,0.172,"2004"
"Shandon Anderson","SG",0,1,0,"2004"
"Shandon Anderson","SF",5,28,0.179,"2004"
"Carmelo Anthony","SF",42,158,0.266,"2004"
"Rafael Araújo","C",1,3,0.333,"2004"
"Gilbert Arenas","PG",205,562,0.365,"2004"
"Trevor Ariza","SF",3,13,0.231,"2004"
"Darrell Armstrong","PG",28,111,0.252,"2004"
"Darrell Armstrong","PG",17,70,0.243,"2004"
"Darrell Armstrong","PG",11,41,0.268,"2004"
"Carlos Arroyo","PG",8,30,0.267,"2004"
"Carlos Arroyo","PG",7,18,0.389,"2004"
"Carlos Arroyo","PG",1,12,0.083,"2004"
"Chucky Atkins","PG",176,455,0.387,"2004"
"Vin Baker","PF-C",0,1,0,"2004"
"Vin Baker","PF",0,1,0,"2004"
"Marcus Banks","PG",21,59,0.356,"2004"
"Leandro Barbosa","PG",51,139,0.367,"2004"
"Matt Barnes","SF",5,22,0.227,"2004"
"Andre Barrett","PG",14,52,0.269,"2004"
"Andre Barrett","PG",9,37,0.243,"2004"
"Andre Barrett","PG",5,15,0.333,"2004"
"Brent Barry","SG",100,280,0.357,"2004"
"Jon Barry","SG",71,165,0.43,"2004"
"Jon Barry","SG",11,32,0.344,"2004"
"Jon Barry","SG",60,133,0.451,"2004"
"Tony Battie","C",0,6,0,"2004"
"Shane Battier","SG",70,177,0.395,"2004"
"Raja Bell","SG",54,134,0.403,"2004"
"Jonathan Bender","SF",1,5,0.2,"2004"
"Travis Best","PG",26,85,0.306,"2004"
"Mike Bibby","PG",131,364,0.36,"2004"
"Andris Biedriņš","C",0,1,0,"2004"
"Chauncey Billups","PG",165,387,0.426,"2004"
"Steve Blake","PG",36,93,0.387,"2004"
"Mark Blount","C",0,1,0,"2004"
"Tony Bobbitt","SG",1,2,0.5,"2004"
"Keith Bogans","SG",57,173,0.329,"2004"
"Matt Bonner","C",39,92,0.424,"2004"
"Calvin Booth","C",0,1,0,"2004"
"Calvin Booth","C",0,1,0,"2004"
"Carlos Boozer","PF",0,1,0,"2004"
"Chris Bosh","PF",3,10,0.3,"2004"
"Bruce Bowen","SF",102,253,0.403,"2004"
"Ryan Bowen","SF",3,6,0.5,"2004"
"Earl Boykins","PG",56,166,0.337,"2004"
"Michael Bradley","PF",0,1,0,"2004"
"Michael Bradley","PF",0,1,0,"2004"
"Elton Brand","PF",0,3,0,"2004"
"Jamison Brewer","PG",3,15,0.2,"2004"
"Damone Brown","SF",4,11,0.364,"2004"
"Devin Brown","SG",45,121,0.372,"2004"
"Kedrick Brown","SF",0,3,0,"2004"
"Tierre Brown","PG",26,72,0.361,"2004"
"Rick Brunson","PG",48,130,0.369,"2004"
"Kobe Bryant*","SG",131,387,0.339,"2004"
"Greg Buckner","SG",49,121,0.405,"2004"
"Rodney Buford","SF",34,108,0.315,"2004"
"Antonio Burks","PG",3,11,0.273,"2004"
"Caron Butler","SF",38,125,0.304,"2004"
"Rasual Butler","SF",57,153,0.373,"2004"
"Žarko Čabarkapa","PF",13,36,0.361,"2004"
"Žarko Čabarkapa","PF",13,36,0.361,"2004"
"Marcus Camby","C",0,4,0,"2004"
"Elden Campbell","C",0,2,0,"2004"
"Elden Campbell","C",0,2,0,"2004"
"Brian Cardinal","PF",44,125,0.352,"2004"
"Matt Carroll","SG",13,39,0.333,"2004"
"Anthony Carter","PG",2,17,0.118,"2004"
"Vince Carter","SF-SG",127,313,0.406,"2004"
"Vince Carter","SG",19,59,0.322,"2004"
"Vince Carter","SF",108,254,0.425,"2004"
"Sam Cassell","PG",27,103,0.262,"2004"
"Lionel Chalmers","PG",12,49,0.245,"2004"
"Tyson Chandler","C",0,2,0,"2004"
"Calbert Cheaney","SG",0,3,0,"2004"
"Josh Childress","SG",13,56,0.232,"2004"
"Doug Christie","SG",15,62,0.242,"2004"
"Doug Christie","SG",10,39,0.256,"2004"
"Doug Christie","SG",5,23,0.217,"2004"
"Speedy Claxton","PG",11,61,0.18,"2004"
"Speedy Claxton","PG",10,52,0.192,"2004"
"Speedy Claxton","PG",1,9,0.111,"2004"
"Mateen Cleaves","PG",0,2,0,"2004"
"Derrick Coleman","C",0,2,0,"2004"
"Jason Collier","C",6,14,0.429,"2004"
"Jarron Collins","C",0,1,0,"2004"
"Jason Collins","C",2,6,0.333,"2004"
"Nick Collison","C",0,3,0,"2004"
"Brian Cook","C",78,199,0.392,"2004"
"Omar Cook","PG",0,4,0,"2004"
"Jamal Crawford","SG",185,512,0.361,"2004"
"Austin Croshere","PF",45,174,0.259,"2004"
"Erick Dampier","C",0,3,0,"2004"
"Antonio Daniels","PG",49,165,0.297,"2004"
"Erik Daniels","SF",1,2,0.5,"2004"
"Marquis Daniels","SG",7,35,0.2,"2004"
"Baron Davis","PG",118,354,0.333,"2004"
"Baron Davis","PG",44,137,0.321,"2004"
"Baron Davis","PG",74,217,0.341,"2004"
"Josh Davis","PF",19,53,0.358,"2004"
"Ricky Davis","SG",61,180,0.339,"2004"
"Carlos Delfino","SG",9,35,0.257,"2004"
"Tony Delk","SG",72,202,0.356,"2004"
"Luol Deng","SF",31,117,0.265,"2004"
"Boris Diaw","SG",9,50,0.18,"2004"
"Dan Dickau","PG",85,245,0.347,"2004"
"Dan Dickau","PG",1,3,0.333,"2004"
"Dan Dickau","PG",84,242,0.347,"2004"
"Kaniel Dickens","SF",3,9,0.333,"2004"
"DeSagana Diop","C",0,2,0,"2004"
"Juan Dixon","SG",48,147,0.327,"2004"
"Michael Doleac","C",0,2,0,"2004"
"Keyon Dooling","PG",19,75,0.253,"2004"
"Predrag Drobnjak","C",25,71,0.352,"2004"
"Chris Duhon","PG",94,265,0.355,"2004"
"Tim Duncan*","PF",3,9,0.333,"2004"
"Mike Dunleavy","SF",107,276,0.388,"2004"
"Ronald Dupree","SF",1,2,0.5,"2004"
"Ndudi Ebi","SG",0,1,0,"2004"
"Howard Eisley","PG",27,103,0.262,"2004"
"Obinna Ekezie","C",0,1,0,"2004"
"Francisco Elson","C",1,3,0.333,"2004"
"Maurice Evans","SG",27,82,0.329,"2004"
"Reggie Evans","PF",0,2,0,"2004"
"Michael Finley","SG",116,285,0.407,"2004"
"Derek Fisher","PG",108,291,0.371,"2004"
"Marcus Fizer","PF",0,6,0,"2004"
"Luis Flores","PG",5,10,0.5,"2004"
"Luis Flores","PG",4,9,0.444,"2004"
"Luis Flores","PG",1,1,1,"2004"
"Jeff Foster","C",0,5,0,"2004"
"Tremaine Fowlkes","SF",1,3,0.333,"2004"
"Richie Frahm","SG",31,80,0.388,"2004"
"Steve Francis","PG",38,127,0.299,"2004"
"Matt Freije","PF",14,54,0.259,"2004"
"Reece Gaines","PG",4,14,0.286,"2004"
"Reece Gaines","PG",3,12,0.25,"2004"
"Reece Gaines","PG",1,2,0.5,"2004"
"Alex Garcia","SG",5,18,0.278,"2004"
"Kevin Garnett*","PF",6,25,0.24,"2004"
"Pat Garrity","PF",49,147,0.333,"2004"
"Pau Gasol","PF",1,6,0.167,"2004"
"Devean George","SF",21,58,0.362,"2004"
"Eddie Gill","PG",36,117,0.308,"2004"
"Kendall Gill","SG",3,9,0.333,"2004"
"Manu Ginóbili","SG",97,258,0.376,"2004"
"Gordan Giriček","SG",38,105,0.362,"2004"
"Dion Glover","SG",1,8,0.125,"2004"
"Anthony Goldwire","PG",32,80,0.4,"2004"
"Anthony Goldwire","PG",3,9,0.333,"2004"
"Anthony Goldwire","PG",29,71,0.408,"2004"
"Drew Gooden","PF",5,28,0.179,"2004"
"Ben Gordon","SG",134,331,0.405,"2004"
"Willie Green","SG",30,105,0.286,"2004"
"Adrian Griffin","SF",2,9,0.222,"2004"
"Eddie Griffin","PF",67,204,0.328,"2004"
"Tom Gugliotta","PF",8,26,0.308,"2004"
"Tom Gugliotta","PF",8,26,0.308,"2004"
"Marcus Haislip","PF",0,1,0,"2004"
"Richard Hamilton","SG",36,118,0.305,"2004"
"Ben Handlogten","C",0,1,0,"2004"
"Anfernee Hardaway","SF",15,50,0.3,"2004"
"Matt Harpring","SF",9,43,0.209,"2004"
"Al Harrington","SF",16,74,0.216,"2004"
"Junior Harrington","SG",6,19,0.316,"2004"
"Devin Harris","PG",44,131,0.336,"2004"
"Lucious Harris","SG",21,65,0.323,"2004"
"Jason Hart","PG",35,95,0.368,"2004"
"Udonis Haslem","PF",0,4,0,"2004"
"Trenton Hassell","SG",1,11,0.091,"2004"
"Jarvis Hayes","SF",42,123,0.341,"2004"
"Alan Henderson","PF",0,2,0,"2004"
"Nenê","C",0,2,0,"2004"
"Grant Hill*","SF",3,13,0.231,"2004"
"Kirk Hinrich","PG",145,408,0.355,"2004"
"Fred Hoiberg","SG",70,145,0.483,"2004"
"Robert Horry","PF",51,138,0.37,"2004"
"Eddie House","PG-SG",44,97,0.454,"2004"
"Eddie House","SG",12,29,0.414,"2004"
"Eddie House","SG",4,6,0.667,"2004"
"Eddie House","PG",28,62,0.452,"2004"
"Allan Houston","SG",31,80,0.388,"2004"
"Dwight Howard","PF",0,2,0,"2004"
"Josh Howard","SF",34,115,0.296,"2004"
"Juwan Howard","PF",0,1,0,"2004"
"Troy Hudson","PG",89,258,0.345,"2004"
"Larry Hughes","SG",59,209,0.282,"2004"
"Ryan Humphrey","SF",0,2,0,"2004"
"Kris Humphries","PF",2,6,0.333,"2004"
"Lindsey Hunter","SG",23,84,0.274,"2004"
"Steven Hunter","C",0,1,0,"2004"
"Andre Iguodala","SG",47,142,0.331,"2004"
"Zydrunas Ilgauskas","C",2,7,0.286,"2004"
"Allen Iverson*","PG",104,338,0.308,"2004"
"Royal Ivey","PG",3,9,0.333,"2004"
"Bobby Jackson","SG",33,96,0.344,"2004"
"Jermaine Jackson","SG",0,2,0,"2004"
"Jim Jackson","SF",122,295,0.414,"2004"
"Jim Jackson","SF",54,147,0.367,"2004"
"Jim Jackson","SF",68,148,0.459,"2004"
"Luke Jackson","SF",4,6,0.667,"2004"
"Marc Jackson","C",0,2,0,"2004"
"Stephen Jackson","SF",103,286,0.36,"2004"
"Casey Jacobsen","SG-SF",66,177,0.373,"2004"
"Casey Jacobsen","SF",34,89,0.382,"2004"
"Casey Jacobsen","SG",32,88,0.364,"2004"
"Jerome James","C",0,2,0,"2004"
"LeBron James","SF",108,308,0.351,"2004"
"Mike James","PG",100,259,0.386,"2004"
"Mike James","PG",58,152,0.382,"2004"
"Mike James","PG",42,107,0.393,"2004"
"Antawn Jamison","PF",71,208,0.341,"2004"
"Marko Jarić","PG",56,151,0.371,"2004"
"Al Jefferson","PF",0,3,0,"2004"
"Richard Jefferson","SF",30,89,0.337,"2004"
"Jared Jeffries","SF",16,51,0.314,"2004"
"Horace Jenkins","PG",0,9,0,"2004"
"Britton Johnsen","SF",0,4,0,"2004"
"Anthony Johnson","PG",41,108,0.38,"2004"
"DerMarr Johnson","SG",53,148,0.358,"2004"
"Ervin Johnson","C",1,1,1,"2004"
"Joe Johnson","SF",177,370,0.478,"2004"
"Linton Johnson","SF",0,1,0,"2004"
"Dahntay Jones","SG",23,60,0.383,"2004"
"Damon Jones","PG",225,521,0.432,"2004"
"Eddie Jones","SF",142,382,0.372,"2004"
"Fred Jones","SG",87,229,0.38,"2004"
"James Jones","SF",66,166,0.398,"2004"
"Jumaine Jones","SF",102,261,0.391,"2004"
"Mark Jones","SF",0,4,0,"2004"
"Chris Kaman","C",0,1,0,"2004"
"Jason Kapono","SF",80,194,0.412,"2004"
"Mario Kasun","C",0,1,0,"2004"
"Viktor Khryapa","SF",4,11,0.364,"2004"
"Jason Kidd*","PG",129,358,0.36,"2004"
"Andrei Kirilenko","PF",23,77,0.299,"2004"
"Kerry Kittles","SG",7,21,0.333,"2004"
"Brevin Knight","PG",3,20,0.15,"2004"
"Kyle Korver","SF",226,558,0.405,"2004"
"Nenad Krstić","PF",0,2,0,"2004"
"Toni Kukoč","SF",42,116,0.362,"2004"
"Christian Laettner","PF",1,7,0.143,"2004"
"Raef LaFrentz","PF",82,225,0.364,"2004"
"Maciej Lampe","C",2,4,0.5,"2004"
"Maciej Lampe","C",2,3,0.667,"2004"
"Maciej Lampe","C",0,1,0,"2004"
"Voshon Lenard","SG",4,12,0.333,"2004"
"Rashard Lewis","SF",173,432,0.4,"2004"
"Randy Livingston","PG",5,8,0.625,"2004"
"Shaun Livingston","PG",0,2,0,"2004"
"Raül López","PG",20,45,0.444,"2004"
"Tyronn Lue","PG",55,155,0.355,"2004"
"Tyronn Lue","PG",15,45,0.333,"2004"
"Tyronn Lue","PG",40,110,0.364,"2004"
"George Lynch","SF",11,37,0.297,"2004"
"Corey Maggette","SG",51,168,0.304,"2004"
"Stephon Marbury","PG",115,325,0.354,"2004"
"Shawn Marion","PF",114,341,0.334,"2004"
"Sean Marks","PF",0,3,0,"2004"
"Donyell Marshall","PF",151,363,0.416,"2004"
"Darrick Martin","PG",5,18,0.278,"2004"
"Kenyon Martin","PF",0,12,0,"2004"
"Kevin Martin","PG",5,25,0.2,"2004"
"Desmond Mason","SF",1,8,0.125,"2004"
"Walter McCarty","PF",55,155,0.355,"2004"
"Walter McCarty","PF",30,90,0.333,"2004"
"Walter McCarty","PF",25,65,0.385,"2004"
"Antonio McDyess","PF",0,1,0,"2004"
"Tracy McGrady*","SF",142,435,0.326,"2004"
"Jeff McInnis","PG",91,264,0.345,"2004"
"Aaron McKie","SG",20,62,0.323,"2004"
"Keith McLeod","PG",18,72,0.25,"2004"
"Stanislav Medvedenko","PF",0,1,0,"2004"
"Ron Mercer","SF",0,3,0,"2004"
"Chris Mihm","C",0,2,0,"2004"
"Darius Miles","SF",8,23,0.348,"2004"
"Andre Miller","PG",6,39,0.154,"2004"
"Brad Miller","C",5,19,0.263,"2004"
"Mike Miller","SF",140,323,0.433,"2004"
