"Player","Pos","X3P","X3PA","X3P.","year"
"Shareef Abdur-Rahim","C",3,20,0.15,"2006"
"Hassan Adams","SG",0,1,0,"2006"
"Maurice Ager","SG",5,15,0.333,"2006"
"LaMarcus Aldridge","C",0,2,0,"2006"
"Malik Allen","PF",0,1,0,"2006"
"Ray Allen*","SG",165,443,0.372,"2006"
"Tony Allen","SG",8,33,0.242,"2006"
"Rafer Alston","PG",192,529,0.363,"2006"
"Alan Anderson","SG",5,20,0.25,"2006"
"Derek Anderson","SF",54,152,0.355,"2006"
"Carmelo Anthony","SF",40,149,0.268,"2006"
"Gilbert Arenas","PG",205,584,0.351,"2006"
"Trevor Ariza","SG",0,7,0,"2006"
"Darrell Armstrong","PG",72,214,0.336,"2006"
"Carlos Arroyo","PG",14,51,0.275,"2006"
"Chucky Atkins","PG",116,306,0.379,"2006"
"Kelenna Azubuike","SG",34,79,0.43,"2006"
"Renaldo Balkman","SF",5,27,0.185,"2006"
"Marcus Banks","PG",5,29,0.172,"2006"
"Leandro Barbosa","SG",190,438,0.434,"2006"
"J.J. Barea","PG",6,21,0.286,"2006"
"Andrea Bargnani","PF",100,268,0.373,"2006"
"Matt Barnes","PF",106,290,0.366,"2006"
"Earl Barron","C",0,1,0,"2006"
"Brent Barry","SG",128,287,0.446,"2006"
"Brandon Bass","PF",0,1,0,"2006"
"Maceo Baston","PF",3,7,0.429,"2006"
"Tony Battie","PF",0,1,0,"2006"
"Shane Battier","SF",157,373,0.421,"2006"
"Charlie Bell","SG",127,361,0.352,"2006"
"Raja Bell","SG",205,496,0.413,"2006"
"Mike Bibby","PG",173,481,0.36,"2006"
"Chauncey Billups","PG",109,316,0.345,"2006"
"Steve Blake","PG",67,208,0.322,"2006"
"Steve Blake","PG",19,68,0.279,"2006"
"Steve Blake","PG",48,140,0.343,"2006"
"Will Blalock","PG",1,5,0.2,"2006"
"Andray Blatche","PF",4,27,0.148,"2006"
"Mark Blount","C",9,31,0.29,"2006"
"Keith Bogans","SG",53,137,0.387,"2006"
"Andrew Bogut","C",1,5,0.2,"2006"
"Matt Bonner","PF",36,94,0.383,"2006"
"Calvin Booth","C",1,2,0.5,"2006"
"Chris Bosh","C",12,35,0.343,"2006"
"Bruce Bowen","SF",89,232,0.384,"2006"
"Earl Boykins","PG",95,239,0.397,"2006"
"Earl Boykins","PG",41,110,0.373,"2006"
"Earl Boykins","PG",54,129,0.419,"2006"
