"Player","Pos","X3P","X3PA","X3P.","year"
"Arron Afflalo","SG",10,48,0.208,"2007"
"Maurice Ager","SG",3,19,0.158,"2007"
"Maurice Ager","SG",0,8,0,"2007"
"Maurice Ager","SG",3,11,0.273,"2007"
"Blake Ahearn","PG",10,34,0.294,"2007"
"LaMarcus Aldridge","PF",1,7,0.143,"2007"
"Malik Allen","PF",1,2,0.5,"2007"
"Malik Allen","PF",1,2,0.5,"2007"
"Ray Allen*","SG",180,452,0.398,"2007"
"Tony Allen","SG",18,57,0.316,"2007"
"Morris Almond","SG",1,4,0.25,"2007"
"Rafer Alston","PG",143,407,0.351,"2007"
"Derek Anderson","SG",19,52,0.365,"2007"
"Carmelo Anthony","SF",58,164,0.354,"2007"
"Gilbert Arenas","PG",22,78,0.282,"2007"
"Trevor Ariza","SF",5,18,0.278,"2007"
"Trevor Ariza","SF",0,3,0,"2007"
"Trevor Ariza","SF",5,15,0.333,"2007"
"Darrell Armstrong","PG",23,69,0.333,"2007"
"Carlos Arroyo","PG",29,84,0.345,"2007"
"Chucky Atkins","SG",25,79,0.316,"2007"
"Kelenna Azubuike","SG",71,195,0.364,"2007"
"Renaldo Balkman","SF",1,12,0.083,"2007"
"Marcus Banks","PG",40,102,0.392,"2007"
"Marcus Banks","PG",25,65,0.385,"2007"
"Marcus Banks","PG",15,37,0.405,"2007"
"Leandro Barbosa","SG",164,422,0.389,"2007"
"J.J. Barea","PG",21,54,0.389,"2007"
"Andrea Bargnani","PF",90,261,0.345,"2007"
"Matt Barnes","PF",53,181,0.293,"2007"
"Andre Barrett","PG",1,3,0.333,"2007"
"Earl Barron","C",1,13,0.077,"2007"
"Brent Barry","SF",48,112,0.429,"2007"
"Brandon Bass","C",0,4,0,"2007"
"Shane Battier","SF",139,369,0.377,"2007"
"Marco Belinelli","SG",16,41,0.39,"2007"
"Charlie Bell","SG",74,217,0.341,"2007"
"Raja Bell","SG",176,439,0.401,"2007"
"Mike Bibby","PG",93,248,0.375,"2007"
"Mike Bibby","PG",24,61,0.393,"2007"
"Mike Bibby","PG",69,187,0.369,"2007"
"Chauncey Billups","PG",137,342,0.401,"2007"
"Steve Blake","PG",121,298,0.406,"2007"
"Andray Blatche","PF",3,13,0.231,"2007"
"Mark Blount","C",17,44,0.386,"2007"
"Keith Bogans","SG",148,409,0.362,"2007"
"Andrew Bogut","C",0,7,0,"2007"
"Matt Bonner","PF",46,137,0.336,"2007"
"Carlos Boozer","PF",0,1,0,"2007"
"Chris Bosh","C",10,25,0.4,"2007"
"Bruce Bowen","SF",90,215,0.419,"2007"
"Ryan Bowen","SF",0,1,0,"2007"
"Earl Boykins","PG",14,44,0.318,"2007"
"Corey Brewer","SF",7,36,0.194,"2007"
"Ronnie Brewer","SG",11,50,0.22,"2007"
"Aaron Brooks","PG",36,109,0.33,"2007"
"Devin Brown","SG",45,146,0.308,"2007"
"P.J. Brown","PF",0,1,0,"2007"
"Shannon Brown","SG",9,30,0.3,"2007"
"Shannon Brown","SG",9,29,0.31,"2007"
"Shannon Brown","SG",0,1,0,"2007"
"Kobe Bryant*","SG",150,415,0.361,"2007"
"Greg Buckner","SG",15,50,0.3,"2007"
"Caron Butler","SF",66,185,0.357,"2007"
"Rasual Butler","SF",44,133,0.331,"2007"
"José Calderón","PG",79,184,0.429,"2007"
"Marcus Camby","C",6,20,0.3,"2007"
"Brian Cardinal","PF",25,81,0.309,"2007"
"Rodney Carney","SF",38,120,0.317,"2007"
"Matt Carroll","SG",105,241,0.436,"2007"
"Anthony Carter","PG",45,129,0.349,"2007"
"Vince Carter","SG",98,273,0.359,"2007"
"Sam Cassell","PG",23,76,0.303,"2007"
"Sam Cassell","PG",14,54,0.259,"2007"
"Sam Cassell","PG",9,22,0.409,"2007"
"Tyson Chandler","C",0,1,0,"2007"
"Wilson Chandler","SF",9,30,0.3,"2007"
"Josh Childress","SF",22,60,0.367,"2007"
"Jarron Collins","C",0,1,0,"2007"
"Jason Collins","C",0,1,0,"2007"
"Jason Collins","C",0,1,0,"2007"
"Mardy Collins","SG",8,32,0.25,"2007"
"Nick Collison","PF",0,2,0,"2007"
"Mike Conley","PG",30,91,0.33,"2007"
"Brian Cook","PF",43,115,0.374,"2007"
"Brian Cook","PF",2,10,0.2,"2007"
"Brian Cook","PF",41,105,0.39,"2007"
"Daequan Cook","SG",79,238,0.332,"2007"
"Jamal Crawford","SG",176,494,0.356,"2007"
"Javaris Crittenton","SG",10,37,0.27,"2007"
"Javaris Crittenton","SG",1,3,0.333,"2007"
"Javaris Crittenton","SG",9,34,0.265,"2007"
"Austin Croshere","PF",22,61,0.361,"2007"
"Samuel Dalembert","C",0,1,0,"2007"
"Antonio Daniels","PG",17,74,0.23,"2007"
"Marquis Daniels","SG",27,102,0.265,"2007"
"Baron Davis","PG",173,525,0.33,"2007"
"Ricky Davis","SF",135,333,0.405,"2007"
"Carlos Delfino","SG",120,314,0.382,"2007"
"Luol Deng","SF",8,22,0.364,"2007"
"Boris Diaw","PF",13,41,0.317,"2007"
"Yakhouba Diawara","SG",21,66,0.318,"2007"
"Guillermo Díaz","SG",0,1,0,"2007"
"Dan Dickau","PG",36,108,0.333,"2007"
"Travis Diener","PG",74,233,0.318,"2007"
"Juan Dixon","PG",30,72,0.417,"2007"
"Juan Dixon","PG",17,39,0.436,"2007"
"Juan Dixon","PG",13,33,0.394,"2007"
"Keyon Dooling","PG",22,65,0.338,"2007"
"Quincy Douby","PG",42,122,0.344,"2007"
"Jared Dudley","PF",9,41,0.22,"2007"
"Chris Duhon","PG",54,155,0.348,"2007"
"Tim Duncan*","C",0,4,0,"2007"
"Mike Dunleavy","SG",165,389,0.424,"2007"
"Kevin Durant","SG",59,205,0.288,"2007"
"Monta Ellis","SG",12,52,0.231,"2007"
"Francisco Elson","C",0,1,0,"2007"
"Francisco Elson","C",0,1,0,"2007"
"Maurice Evans","SG",81,209,0.388,"2007"
"Maurice Evans","SG",1,7,0.143,"2007"
"Maurice Evans","SG",80,202,0.396,"2007"
"Reggie Evans","PF",1,1,1,"2007"
"Jordan Farmar","PG",114,307,0.371,"2007"
"Nick Fazekas","PF",0,2,0,"2007"
"Nick Fazekas","PF",0,2,0,"2007"
"Raymond Felton","PG",56,200,0.28,"2007"
"Michael Finley","SG",132,357,0.37,"2007"
"Derek Fisher","PG",112,276,0.406,"2007"
"T.J. Ford","PG",15,51,0.294,"2007"
"Jeff Foster","C",0,3,0,"2007"
"Randy Foye","PG",61,148,0.412,"2007"
"Richie Frahm","SG",7,25,0.28,"2007"
"Steve Francis","PG",4,17,0.235,"2007"
"Channing Frye","C",3,10,0.3,"2007"
"Dan Gadzuric","C",0,1,0,"2007"
"Jorge Garbajosa","PF",6,16,0.375,"2007"
"Francisco García","SF",113,289,0.391,"2007"
"Thomas Gardner","SG",3,12,0.25,"2007"
"Kevin Garnett*","PF",0,11,0,"2007"
"Pat Garrity","PF",8,37,0.216,"2007"
"Pau Gasol","C",4,16,0.25,"2007"
"Pau Gasol","C",4,15,0.267,"2007"
"Pau Gasol","C",0,1,0,"2007"
"Rudy Gay","SF",134,387,0.346,"2007"
"Mickaël Gelabale","SG",16,37,0.432,"2007"
"Devean George","SF",22,68,0.324,"2007"
"Daniel Gibson","PG",118,268,0.44,"2007"
"Eddie Gill","PG",5,15,0.333,"2007"
"Eddie Gill","PG",5,14,0.357,"2007"
"Eddie Gill","PG",0,1,0,"2007"
"Manu Ginóbili","SG",156,389,0.401,"2007"
"Gordan Giriček","SG",36,99,0.364,"2007"
"Gordan Giriček","SG",12,34,0.353,"2007"
"Gordan Giriček","SG",5,15,0.333,"2007"
"Gordan Giriček","SG",19,50,0.38,"2007"
"Ryan Gomes","PF",59,179,0.33,"2007"
"Drew Gooden","PF",0,6,0,"2007"
"Drew Gooden","PF",0,3,0,"2007"
"Drew Gooden","PF",0,3,0,"2007"
"Ben Gordon","SG",142,346,0.41,"2007"
"Joey Graham","SF",2,3,0.667,"2007"
"Stephen Graham","SF",7,14,0.5,"2007"
"Danny Granger","SF",171,423,0.404,"2007"
"Aaron Gray","C",0,1,0,"2007"
"Gerald Green","SF",15,39,0.385,"2007"
"Gerald Green","SF",15,39,0.385,"2007"
"Jeff Green","SF",21,76,0.276,"2007"
"Taurean Green","SG-PG",2,11,0.182,"2007"
"Taurean Green","PG",1,8,0.125,"2007"
"Taurean Green","SG",1,3,0.333,"2007"
"Willie Green","SG",51,179,0.285,"2007"
"Orien Greene","SG",0,1,0,"2007"
"Richard Hamilton","SG",62,141,0.44,"2007"
"Anfernee Hardaway","SF",8,19,0.421,"2007"
"Matt Harpring","SF",2,10,0.2,"2007"
"Al Harrington","C",153,408,0.375,"2007"
"Devin Harris","PG",56,167,0.335,"2007"
"Devin Harris","PG",25,70,0.357,"2007"
"Devin Harris","PG",31,97,0.32,"2007"
"Mike Harris","PF",0,2,0,"2007"
"Jason Hart","PG",11,31,0.355,"2007"
"Trenton Hassell","SG",2,9,0.222,"2007"
"Trenton Hassell","SG",1,4,0.25,"2007"
"Trenton Hassell","SG",1,5,0.2,"2007"
"Spencer Hawes","C",4,21,0.19,"2007"
"Chuck Hayes","PF",0,3,0,"2007"
"Jarvis Hayes","SF",73,194,0.376,"2007"
"Luther Head","SG",79,225,0.351,"2007"
"Walter Herrmann","PF",20,64,0.313,"2007"
"Walter Herrmann","PF",9,26,0.346,"2007"
"Walter Herrmann","PF",11,38,0.289,"2007"
"Nenê","PF",0,1,0,"2007"
"Grant Hill*","SF",33,104,0.317,"2007"
"Kirk Hinrich","PG",84,240,0.35,"2007"
"Al Horford","C",0,5,0,"2007"
"Robert Horry","PF",18,70,0.257,"2007"
"Eddie House","PG",117,298,0.393,"2007"
"Dwight Howard","C",0,4,0,"2007"
"Josh Howard","SF",67,210,0.319,"2007"
"Troy Hudson","PG",4,12,0.333,"2007"
"Larry Hughes","PG-SG",67,194,0.345,"2007"
"Larry Hughes","PG",43,126,0.341,"2007"
"Larry Hughes","SG",24,68,0.353,"2007"
"Kris Humphries","PF",0,2,0,"2007"
"Lindsey Hunter","PG",7,26,0.269,"2007"
"Andre Iguodala","SF",101,307,0.329,"2007"
"Zydrunas Ilgauskas","C",0,1,0,"2007"
"Allen Iverson*","SG",95,275,0.345,"2007"
"Royal Ivey","PG",35,107,0.327,"2007"
"Jarrett Jack","SG",65,190,0.342,"2007"
"Bobby Jackson","SG-PG",81,226,0.358,"2007"
"Bobby Jackson","SG",53,144,0.368,"2007"
"Bobby Jackson","PG",28,82,0.341,"2007"
"Luke Jackson","SF",11,30,0.367,"2007"
"Stephen Jackson","SF",182,501,0.363,"2007"
"Casey Jacobsen","SG",16,72,0.222,"2007"
"LeBron James","SF",113,359,0.315,"2007"
"Mike James","PG",31,97,0.32,"2007"
"Mike James","PG",24,74,0.324,"2007"
"Mike James","PG",7,23,0.304,"2007"
"Antawn Jamison","PF",120,354,0.339,"2007"
"Marko Jarić","SG",46,127,0.362,"2007"
"Al Jefferson","C",0,5,0,"2007"
"Richard Jefferson","SF",77,213,0.362,"2007"
"Jared Jeffries","SF",4,25,0.16,"2007"
"Yi Jianlian","PF",6,21,0.286,"2007"
"Anthony Johnson","PG",42,93,0.452,"2007"
"Anthony Johnson","PG",27,63,0.429,"2007"
"Anthony Johnson","PG",15,30,0.5,"2007"
"DerMarr Johnson","SF",3,9,0.333,"2007"
"Joe Johnson","SG",169,444,0.381,"2007"
"Linton Johnson","PF",1,3,0.333,"2007"
"Linton Johnson","PF",1,2,0.5,"2007"
"Linton Johnson","PF",0,1,0,"2007"
"Bobby Jones","SF",18,53,0.34,"2007"
"Bobby Jones","SF",9,23,0.391,"2007"
"Bobby Jones","SF",3,13,0.231,"2007"
"Bobby Jones","SF",6,15,0.4,"2007"
"Bobby Jones","SF",0,2,0,"2007"
"Dahntay Jones","SG",1,6,0.167,"2007"
