"Player","Pos","X3P","X3PA","X3P.","year"
"Alex Acker","SG",7,20,0.35,"2008"
"Alex Acker","SG",0,4,0,"2008"
"Alex Acker","SG",7,16,0.438,"2008"
"Arron Afflalo","SG",43,107,0.402,"2008"
"Maurice Ager","SG",0,6,0,"2008"
"Blake Ahearn","PG",2,4,0.5,"2008"
"Alexis Ajinça","PF",0,2,0,"2008"
"LaMarcus Aldridge","PF",7,28,0.25,"2008"
"Joe Alexander","SF",16,46,0.348,"2008"
"Malik Allen","PF",0,1,0,"2008"
"Ray Allen*","SG",199,486,0.409,"2008"
"Tony Allen","SG",6,27,0.222,"2008"
"Morris Almond","SG",5,17,0.294,"2008"
"Rafer Alston","PG",112,331,0.338,"2008"
"Rafer Alston","PG",80,230,0.348,"2008"
"Rafer Alston","PG",32,101,0.317,"2008"
"Lou Amundson","PF",0,1,0,"2008"
"Chris Andersen","C",2,10,0.2,"2008"
"Ryan Anderson","PF",69,189,0.365,"2008"
"Carmelo Anthony","SF",63,170,0.371,"2008"
"Gilbert Arenas","PG",2,7,0.286,"2008"
"Trevor Ariza","SF",61,191,0.319,"2008"
"Hilton Armstrong","C",0,2,0,"2008"
"Darrell Arthur","PF",0,2,0,"2008"
"Chucky Atkins","PG",15,57,0.263,"2008"
"Chucky Atkins","PG",5,17,0.294,"2008"
"Chucky Atkins","PG",10,40,0.25,"2008"
"D.J. Augustin","PG",108,246,0.439,"2008"
"Kelenna Azubuike","SF",94,210,0.448,"2008"
"Renaldo Balkman","PF",2,7,0.286,"2008"
"Marcus Banks","PG",3,19,0.158,"2008"
"Marcus Banks","PG",2,14,0.143,"2008"
"Marcus Banks","PG",1,5,0.2,"2008"
"Leandro Barbosa","SG",90,240,0.375,"2008"
"J.J. Barea","SG",55,154,0.357,"2008"
"Andrea Bargnani","PF",119,291,0.409,"2008"
"Matt Barnes","PF",117,341,0.343,"2008"
"Brent Barry","SG",49,131,0.374,"2008"
"Brandon Bass","C",0,6,0,"2008"
"Maceo Baston","PF",0,1,0,"2008"
"Tony Battie","PF",2,9,0.222,"2008"
"Shane Battier","SG",91,237,0.384,"2008"
"Nicolas Batum","SF",62,168,0.369,"2008"
"Jerryd Bayless","PG",7,27,0.259,"2008"
"Michael Beasley","PF",33,81,0.407,"2008"
"Marco Belinelli","SG",52,131,0.397,"2008"
"Charlie Bell","SG",87,240,0.363,"2008"
"Raja Bell","SG",114,271,0.421,"2008"
"Raja Bell","SG",44,94,0.468,"2008"
"Raja Bell","SG",70,177,0.395,"2008"
"Mike Bibby","PG",167,428,0.39,"2008"
"Andris Biedriņš","C",0,1,0,"2008"
"Chauncey Billups","PG",162,397,0.408,"2008"
"Chauncey Billups","PG",2,7,0.286,"2008"
"Chauncey Billups","PG",160,390,0.41,"2008"
"Steve Blake","PG",140,328,0.427,"2008"
