"Player","Pos","X3P","X3PA","X3P.","year"
"Kim English","SG",14,50,0.28,"2012"
"Jeremy Evans","PF",0,1,0,"2012"
"Tyreke Evans","SG",45,133,0.338,"2012"
"Derrick Favors","PF",0,5,0,"2012"
"Raymond Felton","PG",93,258,0.36,"2012"
"Landry Fields","SF",2,14,0.143,"2012"
"Derek Fisher","SG-PG",30,80,0.375,"2012"
"Derek Fisher","PG",10,23,0.435,"2012"
"Derek Fisher","SG",20,57,0.351,"2012"
"Evan Fournier","SG",22,54,0.407,"2012"
"Randy Foye","SG",178,434,0.41,"2012"
"Jimmer Fredette","SG",65,156,0.417,"2012"
"Danilo Gallinari","SF",135,362,0.373,"2012"
"Francisco García","SG-SF",67,179,0.374,"2012"
"Francisco García","SG",40,109,0.367,"2012"
"Francisco García","SF",27,70,0.386,"2012"
"Kevin Garnett*","C",2,16,0.125,"2012"
"Diante Garrett","PG",3,15,0.2,"2012"
"Marc Gasol","C",1,14,0.071,"2012"
"Pau Gasol","PF",8,28,0.286,"2012"
"Rudy Gay","SF",84,260,0.323,"2012"
"Rudy Gay","SF",40,129,0.31,"2012"
"Rudy Gay","SF",44,131,0.336,"2012"
"Alonzo Gee","SF",69,219,0.315,"2012"
"Mickaël Gelabale","SF",16,52,0.308,"2012"
"Paul George","SF",170,469,0.362,"2012"
"Daniel Gibson","PG",56,163,0.344,"2012"
"Taj Gibson","PF",0,4,0,"2012"
"Manu Ginóbili","SG",83,235,0.353,"2012"
"Drew Gooden","C",1,5,0.2,"2012"
"Ben Gordon","SG",113,292,0.387,"2012"
"Eric Gordon","SG",56,173,0.324,"2012"
"Marcin Gortat","C",0,3,0,"2012"
"Danny Granger","SF",2,10,0.2,"2012"
"Danny Green","SG",177,413,0.429,"2012"
"Draymond Green","SF",14,67,0.209,"2012"
"Gerald Green","SF",59,188,0.314,"2012"
"Jeff Green","PF",70,182,0.385,"2012"
"Willie Green","SG",71,166,0.428,"2012"
"Blake Griffin","PF",5,28,0.179,"2012"
"Jordan Hamilton","SF",27,73,0.37,"2012"
"Richard Hamilton","SG",16,52,0.308,"2012"
"Ben Hansbrough","PG",6,23,0.261,"2012"
"Tyler Hansbrough","PF",0,3,0,"2012"
"James Harden","SG",179,486,0.368,"2012"
"Maurice Harkless","SF",32,117,0.274,"2012"
"Josh Harrellson","C",1,5,0.2,"2012"
"Al Harrington","C",8,30,0.267,"2012"
"Devin Harris","SG",77,230,0.335,"2012"
"Terrel Harris","SG",0,8,0,"2012"
"Terrel Harris","SG",0,1,0,"2012"
"Terrel Harris","SG",0,7,0,"2012"
"Tobias Harris","SF-PF",34,108,0.315,"2012"
