"Player","Pos","X3P","X3PA","X3P.","year"
"Arron Afflalo","SG",108,249,0.434,"2009"
"LaMarcus Aldridge","PF",5,16,0.313,"2009"
"Joe Alexander","SF",0,1,0,"2009"
"Malik Allen","PF",1,6,0.167,"2009"
"Ray Allen*","SG",145,399,0.363,"2009"
"Tony Allen","SG",0,5,0,"2009"
"Rafer Alston","PG",58,168,0.345,"2009"
"Rafer Alston","PG",28,87,0.322,"2009"
"Rafer Alston","PG",30,81,0.37,"2009"
"Lou Amundson","PF",0,1,0,"2009"
"Chris Andersen","PF",0,3,0,"2009"
"David Andersen","C",27,78,0.346,"2009"
"Ryan Anderson","PF",78,211,0.37,"2009"
"Carmelo Anthony","SF",59,187,0.316,"2009"
"Gilbert Arenas","PG",63,181,0.348,"2009"
"Trevor Ariza","SF",136,407,0.334,"2009"
"Hilton Armstrong","PF-C",0,1,0,"2009"
"Hilton Armstrong","C",0,1,0,"2009"
"Carlos Arroyo","PG",7,25,0.28,"2009"
"Darrell Arthur","PF",0,1,0,"2009"
"Chucky Atkins","PG",22,73,0.301,"2009"
"D.J. Augustin","PG",70,178,0.393,"2009"
"Kelenna Azubuike","SF",10,27,0.37,"2009"
"Renaldo Balkman","SF",0,7,0,"2009"
"Marcus Banks","PG",7,24,0.292,"2009"
"Leandro Barbosa","PG",44,136,0.324,"2009"
"J.J. Barea","PG",56,157,0.357,"2009"
"Andrea Bargnani","PF",121,325,0.372,"2009"
"Matt Barnes","SF",66,207,0.319,"2009"
"Tony Battie","C",1,4,0.25,"2009"
"Shane Battier","SG",101,279,0.362,"2009"
"Nicolas Batum","SF",54,132,0.409,"2009"
"Jerryd Bayless","SG",29,92,0.315,"2009"
"Michael Beasley","PF",28,102,0.275,"2009"
"Rodrigue Beaubois","PG",45,110,0.409,"2009"
"Marco Belinelli","SG",60,158,0.38,"2009"
"Charlie Bell","SG",73,200,0.365,"2009"
"Raja Bell","SG",12,27,0.444,"2009"
"Raja Bell","SG",9,24,0.375,"2009"
"Raja Bell","SG",3,3,1,"2009"
"Jonathan Bender","SF",14,39,0.359,"2009"
"Mike Bibby","PG",126,324,0.389,"2009"
"Chauncey Billups","PG",157,407,0.386,"2009"
"DeJuan Blair","PF",0,2,0,"2009"
"Steve Blake","PG",116,294,0.395,"2009"
"Steve Blake","PG",78,207,0.377,"2009"
"Steve Blake","PG",38,87,0.437,"2009"
"Andray Blatche","PF",13,44,0.295,"2009"
"Keith Bogans","SF",70,196,0.357,"2009"
"Andrew Bogut","C",0,2,0,"2009"
"Matt Bonner","PF",90,231,0.39,"2009"
"Chris Bosh","C",8,22,0.364,"2009"
"Earl Boykins","PG",19,60,0.317,"2009"
"Elton Brand","PF",0,1,0,"2009"
"Corey Brewer","SG",82,237,0.346,"2009"
"Ronnie Brewer","SG",8,31,0.258,"2009"
"Ronnie Brewer","SG",8,31,0.258,"2009"
"Aaron Brooks","PG",209,525,0.398,"2009"
"Bobby Brown","PG",26,98,0.265,"2009"
"Bobby Brown","PG",17,66,0.258,"2009"
"Bobby Brown","PG",9,32,0.281,"2009"
"Derrick Brown","SF",2,7,0.286,"2009"
"Devin Brown","SG",58,164,0.354,"2009"
"Devin Brown","SG",54,147,0.367,"2009"
"Devin Brown","SG",4,17,0.235,"2009"
"Kwame Brown","C",0,1,0,"2009"
"Shannon Brown","SG",62,189,0.328,"2009"
"Kobe Bryant*","SG",99,301,0.329,"2009"
"Chase Budinger","SF",92,249,0.369,"2009"
"Caron Butler","SF-SG",42,145,0.29,"2009"
"Caron Butler","SF",25,95,0.263,"2009"
"Caron Butler","SG",17,50,0.34,"2009"
"Rasual Butler","SF",145,432,0.336,"2009"
"Andrew Bynum","C",0,1,0,"2009"
"Will Bynum","PG",12,55,0.218,"2009"
"José Calderón","PG",68,171,0.398,"2009"
"Marcus Camby","PF-C",2,7,0.286,"2009"
"Marcus Camby","PF",2,6,0.333,"2009"
"Marcus Camby","C",0,1,0,"2009"
"Brian Cardinal","PF",3,9,0.333,"2009"
"Rodney Carney","SG",41,135,0.304,"2009"
"DeMarre Carroll","SF",0,6,0,"2009"
"Matt Carroll","SG",4,19,0.211,"2009"
"Anthony Carter","PG",17,63,0.27,"2009"
"Vince Carter","SG",119,324,0.367,"2009"
"Omri Casspi","SF",75,203,0.369,"2009"
"Mario Chalmers","PG",75,236,0.318,"2009"
"Wilson Chandler","SG",40,150,0.267,"2009"
"Earl Clark","PF",2,5,0.4,"2009"
"Jason Collins","C",0,1,0,"2009"
"Mardy Collins","SG",4,17,0.235,"2009"
"Darren Collison","PG",46,115,0.4,"2009"
"Nick Collison","C",1,4,0.25,"2009"
"Mike Conley","PG",82,212,0.387,"2009"
"Will Conroy","PG",0,3,0,"2009"
"Brian Cook","PF",2,9,0.222,"2009"
"Daequan Cook","SG",40,126,0.317,"2009"
"Jamal Crawford","SG",163,427,0.382,"2009"
