"Player","Pos","X3P","X3PA","X3P.","year"
"Álex Abrines","SG",84,221,0.38,"2017"
"Quincy Acy","PF",102,292,0.349,"2017"
"Steven Adams","C",0,2,0,"2017"
"Bam Adebayo","C",0,7,0,"2017"
"Arron Afflalo","SG",27,70,0.386,"2017"
"LaMarcus Aldridge","C",27,92,0.293,"2017"
"Jarrett Allen","C",5,15,0.333,"2017"
"Kadeem Allen","PG",0,11,0,"2017"
"Tony Allen","SF",4,12,0.333,"2017"
"Al-Farouq Aminu","PF",125,339,0.369,"2017"
"Justin Anderson","SF",34,103,0.33,"2017"
"Kyle Anderson","SF",19,57,0.333,"2017"
"Ryan Anderson","PF",131,339,0.386,"2017"
"Giannis Antetokounmpo","PF",43,140,0.307,"2017"
"Carmelo Anthony","PF",169,474,0.357,"2017"
"OG Anunoby","SF",73,197,0.371,"2017"
"Ryan Arcidiacono","PG",9,31,0.29,"2017"
"Trevor Ariza","SF",170,462,0.368,"2017"
"Darrell Arthur","PF",8,23,0.348,"2017"
"Jamel Artis","SG",8,29,0.276,"2017"
"D.J. Augustin","PG",114,272,0.419,"2017"
"Luke Babbitt","SF",60,156,0.385,"2017"
"Luke Babbitt","SF",49,111,0.441,"2017"
"Luke Babbitt","SF",11,45,0.244,"2017"
"Dwayne Bacon","SG",11,43,0.256,"2017"
"Ron Baker","SG",11,33,0.333,"2017"
"Wade Baldwin","PG",4,5,0.8,"2017"
"Lonzo Ball","PG",90,295,0.305,"2017"
"J.J. Barea","PG",115,313,0.367,"2017"
"Harrison Barnes","PF",119,333,0.357,"2017"
"Will Barton","SG",156,422,0.37,"2017"
"Nicolas Batum","SG",92,274,0.336,"2017"
"Jerryd Bayless","SG",54,146,0.37,"2017"
"Aron Baynes","C",3,21,0.143,"2017"
"Kent Bazemore","SG",108,274,0.394,"2017"
"Bradley Beal","SG",199,530,0.375,"2017"
"Malik Beasley","SG",28,82,0.341,"2017"
"Michael Beasley","PF",34,86,0.395,"2017"
"Marco Belinelli","SG",149,395,0.377,"2017"
"Marco Belinelli","SG",92,247,0.372,"2017"
"Marco Belinelli","SG",57,148,0.385,"2017"
"Jordan Bell","C",0,4,0,"2017"
"DeAndre' Bembry","SF",11,30,0.367,"2017"
"Dragan Bender","PF",118,322,0.366,"2017"
"Dāvis Bertāns","PF",94,252,0.373,"2017"
"Patrick Beverley","SG",24,60,0.4,"2017"
"Jabari Bird","SG",3,7,0.429,"2017"
"Bismack Biyombo","C",0,1,0,"2017"
"Nemanja Bjelica","PF",76,183,0.415,"2017"
"Tarik Black","C",1,11,0.091,"2017"
"Antonio Blakeney","SG",15,52,0.288,"2017"
"Eric Bledsoe","PG",125,360,0.347,"2017"
"Eric Bledsoe","PG",4,13,0.308,"2017"
"Eric Bledsoe","PG",121,347,0.349,"2017"
"Vander Blue","SG",0,2,0,"2017"
"Bogdan Bogdanović","SG",129,329,0.392,"2017"
"Bojan Bogdanović","SF",155,386,0.402,"2017"
"Joel Bolomboy","PF",0,1,0,"2017"
"Devin Booker","SG",147,384,0.383,"2017"
"Trevor Booker","PF",8,33,0.242,"2017"
"Trevor Booker","PF",3,12,0.25,"2017"
"Trevor Booker","PF",2,7,0.286,"2017"
"Trevor Booker","PF",3,14,0.214,"2017"
"Chris Boucher","PF",0,1,0,"2017"
"Avery Bradley","SG",75,203,0.369,"2017"
"Avery Bradley","SG",74,194,0.381,"2017"
"Avery Bradley","SG",1,9,0.111,"2017"
"Tony Bradley","C",0,1,0,"2017"
"Corey Brewer","SF-SG",31,110,0.282,"2017"
"Corey Brewer","SF",8,43,0.186,"2017"
"Corey Brewer","SG",23,67,0.343,"2017"
"Malcolm Brogdon","PG",62,161,0.385,"2017"
