"Player","Pos","X3P","X3PA","X3P.","year"
"Steven Adams","C",1,3,0.333,"2019"
"Bam Adebayo","PF",2,14,0.143,"2019"
"LaMarcus Aldridge","C",61,157,0.389,"2019"
"Nickeil Alexander-Walker","SG",46,133,0.346,"2019"
"Grayson Allen","SG",57,141,0.404,"2019"
"Jarrett Allen","C",0,6,0,"2019"
"Kadeem Allen","PG",5,16,0.313,"2019"
"Al-Farouq Aminu","PF",9,36,0.25,"2019"
"Justin Anderson","SG",6,29,0.207,"2019"
"Kyle Anderson","SF",24,85,0.282,"2019"
"Ryan Anderson","C",1,5,0.2,"2019"
"Giannis Antetokounmpo","PF",89,293,0.304,"2019"
"Thanasis Antetokounmpo","SF",0,10,0,"2019"
"Carmelo Anthony","PF",87,226,0.385,"2019"
"OG Anunoby","SF",89,228,0.39,"2019"
"Ryan Arcidiacono","PG",54,138,0.391,"2019"
"Trevor Ariza","SF",77,207,0.372,"2019"
"Trevor Ariza","SF",43,122,0.352,"2019"
"Trevor Ariza","SF",34,85,0.4,"2019"
"D.J. Augustin","PG",70,201,0.348,"2019"
"Deandre Ayton","C",3,13,0.231,"2019"
"Dwayne Bacon","SG",19,67,0.284,"2019"
"Marvin Bagley III","C",4,22,0.182,"2019"
"Lonzo Ball","PG",148,395,0.375,"2019"
"Mo Bamba","C",37,107,0.346,"2019"
"J.J. Barea","PG",32,85,0.376,"2019"
"Harrison Barnes","PF",102,268,0.381,"2019"
"RJ Barrett","SG",63,197,0.32,"2019"
"Will Barton","SF",108,288,0.375,"2019"
"Keita Bates-Diop","PF-SF",34,103,0.33,"2019"
"Keita Bates-Diop","PF",31,94,0.33,"2019"
"Keita Bates-Diop","SF",3,9,0.333,"2019"
"Nicolas Batum","SF",14,49,0.286,"2019"
"Aron Baynes","C",59,168,0.351,"2019"
"Kent Bazemore","SF",84,244,0.344,"2019"
"Kent Bazemore","SF",56,171,0.327,"2019"
"Kent Bazemore","SF",28,73,0.384,"2019"
"Darius Bazley","PF",49,141,0.348,"2019"
"Bradley Beal","SG",170,481,0.353,"2019"
"Malik Beasley","SG",107,276,0.388,"2019"
"Malik Beasley","SG",58,161,0.36,"2019"
"Malik Beasley","SG",49,115,0.426,"2019"
"Marco Belinelli","SG",67,178,0.376,"2019"
"Jordan Bell","C",4,12,0.333,"2019"
"Jordan Bell","C",2,9,0.222,"2019"
"Jordan Bell","C",2,3,0.667,"2019"
"DeAndre' Bembry","SG",15,65,0.231,"2019"
"Dragan Bender","PF-C",15,43,0.349,"2019"
"Dragan Bender","C",4,9,0.444,"2019"
"Dragan Bender","PF",11,34,0.324,"2019"
"Dāvis Bertāns","PF",200,472,0.424,"2019"
"Patrick Beverley","PG",80,206,0.388,"2019"
"Khem Birch","C",0,1,0,"2019"
"Goga Bitadze","C",8,42,0.19,"2019"
"Nemanja Bjelica","PF",134,320,0.419,"2019"
"Eric Bledsoe","PG",74,215,0.344,"2019"
"Bogdan Bogdanović","SG",164,441,0.372,"2019"
