"Player","Pos","X3P","X3PA","X3P.","year"
"Arron Afflalo","SG",105,248,0.423,"2010"
"Maurice Ager","SG",3,4,0.75,"2010"
"Alexis Ajinça","C",12,34,0.353,"2010"
"Alexis Ajinça","C",3,7,0.429,"2010"
"Alexis Ajinça","C",9,27,0.333,"2010"
"LaMarcus Aldridge","PF",4,23,0.174,"2010"
"Ray Allen*","SG",168,378,0.444,"2010"
"Tony Allen","SG",4,23,0.174,"2010"
"Al-Farouq Aminu","SF",45,143,0.315,"2010"
"Chris Andersen","C",0,1,0,"2010"
"David Andersen","PF",8,23,0.348,"2010"
"David Andersen","PF",3,10,0.3,"2010"
"David Andersen","PF",5,13,0.385,"2010"
"James Anderson","SF",18,46,0.391,"2010"
"Ryan Anderson","PF",134,341,0.393,"2010"
"Carmelo Anthony","SF",95,251,0.378,"2010"
"Carmelo Anthony","SF",42,126,0.333,"2010"
"Carmelo Anthony","SF",53,125,0.424,"2010"
"Gilbert Arenas","PG",97,327,0.297,"2010"
"Gilbert Arenas","PG",47,145,0.324,"2010"
"Gilbert Arenas","PG",50,182,0.275,"2010"
"Trevor Ariza","SF",82,271,0.303,"2010"
"Hilton Armstrong","C",2,4,0.5,"2010"
"Hilton Armstrong","C",1,3,0.333,"2010"
"Hilton Armstrong","C",1,1,1,"2010"
"Carlos Arroyo","PG",31,69,0.449,"2010"
"Carlos Arroyo","PG",28,64,0.438,"2010"
"Carlos Arroyo","PG",3,5,0.6,"2010"
"Darrell Arthur","PF",0,6,0,"2010"
"D.J. Augustin","PG",111,333,0.333,"2010"
"Luke Babbitt","SF",3,16,0.188,"2010"
"Renaldo Balkman","SF",1,2,0.5,"2010"
"Renaldo Balkman","SF",1,2,0.5,"2010"
"Leandro Barbosa","SG",72,213,0.338,"2010"
"J.J. Barea","PG",66,189,0.349,"2010"
"Andrea Bargnani","C",77,223,0.345,"2010"
"Matt Barnes","SF",34,107,0.318,"2010"
"Brandon Bass","PF",0,2,0,"2010"
"Tony Battie","C",2,3,0.667,"2010"
"Shane Battier","SF",102,267,0.382,"2010"
"Shane Battier","SF",88,225,0.391,"2010"
"Shane Battier","SF",14,42,0.333,"2010"
"Nicolas Batum","SF",118,342,0.345,"2010"
"Jerryd Bayless","PG",49,146,0.336,"2010"
"Jerryd Bayless","PG",3,14,0.214,"2010"
"Jerryd Bayless","PG",46,132,0.348,"2010"
"Michael Beasley","SF",60,164,0.366,"2010"
"Rodrigue Beaubois","PG",25,83,0.301,"2010"
"Marco Belinelli","SG",134,324,0.414,"2010"
"Charlie Bell","SG",6,21,0.286,"2010"
"Raja Bell","SG",68,193,0.352,"2010"
"Mike Bibby","PG",153,348,0.44,"2010"
"Mike Bibby","PG",113,256,0.441,"2010"
"Mike Bibby","PG",0,4,0,"2010"
"Mike Bibby","PG",40,88,0.455,"2010"
"Chauncey Billups","PG",146,363,0.402,"2010"
"Chauncey Billups","PG",105,238,0.441,"2010"
"Chauncey Billups","PG",41,125,0.328,"2010"
"DeJuan Blair","PF",0,2,0,"2010"
"Steve Blake","PG",73,193,0.378,"2010"
"Andray Blatche","PF",4,18,0.222,"2010"
"Eric Bledsoe","PG",32,116,0.276,"2010"
"Keith Bogans","SG",90,237,0.38,"2010"
"Andrew Bogut","C",0,4,0,"2010"
"Matt Bonner","PF",105,230,0.457,"2010"
"Trevor Booker","PF",0,1,0,"2010"
"Chris Bosh","PF",6,25,0.24,"2010"
"Earl Boykins","PG",27,71,0.38,"2010"
"Craig Brackins","PF",0,5,0,"2010"
